"player_index","X","Game_id","Team","minutes","Points","season_id","Total_Rebounds","Assists","Steals","Turnovers","Blocked_Shots","br_url","cbb_games","cbb_minutes"
1,42.500000000000014,21230795.244186044,"DEN",3136,1785,2002.9999999999998,531,238,102,264,41,"carmelo-anthony-1",35.00000000000001,1273.9999999999998
2,95.49999999999999,24300237.499999996,"BOS",351,115,2003,44,46,16,36,4,"marcus-banks-1",62.99999999999999,2160
4,194.50000000000009,20300874.02631579,"LAC",724,171,2003.0000000000002,151,48,27,44,3,"matt-barnes-1",121.00000000000003,2734.0000000000005
6,218.5,20300760.333333336,"MEM",34,11,2003,4,4,1,6,0,"troy-bell-1",122.00000000000001,4355
7,227.99999999999997,20300304.769230768,"WAS",237,67,2002.9999999999998,21,36,9,24,3,"steve-blake-1",138,4319
8,271,20300624.328767117,"ORL",1788,498,2002.9999999999995,317,98,46,75,10,"keith-bogans-1",135,3914.999999999999
9,315.5,20300194.625000004,"UTA",259,58,2003,54,15,4,18,14,"curtis-borchardt-1",66,1424.9999999999998
10,360.99999999999994,20300603.28000001,"TOR",2513,861,2002.9999999999995,557,78,59,107,106,"chris-bosh-1",30.999999999999993,960.9999999999995
11,406.0000000000001,20300234.06666667,"HOU",151,40,2003,39,7,4,13,2,"torraye-braggs-1",59,1823
13,466,20300192.857142854,"POR",18,4,2002.9999999999998,0,1,0,1,0,"matt-carroll-1",133,4149
14,475,22119069,"LAL",112,42,2002.9999999999995,11,4,0,9,0,"maurice-carter-1",107.99999999999999,2732
15,504.5000000000001,25717336.354166664,"LAL",486,167,2003,113,21,17,20,16,"brian-cook-1",132.00000000000003,3391.999999999999
16,537,20300833.470588237,"POR",139,14,2003,6,24,10,10,0,"omar-cook-1",29,1107
17,575.9999999999998,21939972.836065568,"DAL",1222,556,2002.9999999999995,177,131,63,59,15,"marquis-daniels-1",110.99999999999994,3184.999999999999
18,608.5,20300952.25,"ATL",23,5,2003,5,0,0,2,0,"josh-davis-1",119,3129
20,688,20300403,"POR",12,7,2003,2,0,0,1,0,"kaniel-dickens-1",55,1221
21,712.9999999999999,20300840.234042555,"CHI",893,292,2003,167,55,32,51,18,"ronald-dupree-1",129,3715.0000000000005
23,786.5,21512615.954545442,"DEN",938,233,2002.9999999999995,212,34,37,38,40,"francisco-elson-1",57.999999999999964,1148
24,823,20301136,"POR",32,13,2002.9999999999998,4,1,0,1,0,"desmond-ferguson-1",116,3108
26,845.5,20300212.999999996,"SEA",69,19,2002.9999999999995,10,5,6,1,1,"richie-frahm-1",130,3379.9999999999995
27,852.5,20300868,"ATL",43,8,2003,11,2,0,4,1,"hiram-fuller-1",60,1224
28,858.5,20300129.375,"ORL",48,4,2002.9999999999998,7,9,3,3,0,"reece-gaines-1",125,3949.9999999999995
30,890.9999999999998,20300680.94339622,"PHI",767,364,2002.9999999999998,65,53,26,59,5,"willie-green-1",123.99999999999997,3719.9999999999986
31,926,20300247.82352941,"UTA",172,68,2003,55,6,3,10,4,"ben-handlogten-1",109,2615.9999999999995
32,954.9999999999998,20300603.707317077,"ATL",508,123,2003,70,19,10,15,9,"travis-hansen-1",86,2356
33,1019.5000000000003,23255078.977272738,"MIA",1995,597,2003,495,54,38,77,27,"udonis-haslem-1",130,3237.000000000001
34,1098.5000000000005,20300537.771428563,"WAS",2046,673,2002.9999999999998,264,106,71,110,11,"jarvis-hayes-1",83.99999999999997,2636.9999999999986
35,1171.4999999999998,20300623.552631587,"CHI",2705,915,2002.9999999999995,259,517,101,204,21,"kirk-hinrich-1",141.0000000000001,4186.999999999997
36,1218.4999999999998,25855755.83333333,"DAL",340,128,2003,104,21,21,14,20,"josh-howard-1",126.99999999999999,3530
37,1247,21839254.20512821,"BOS",415,127,2003.0000000000002,121,20,13,23,2,"brandon-hunter-1",119,3879
39,1355.5,20300848.199999996,"ORL",289,42,2003,45,12,7,14,1,"britton-johnsen-1",109,2854.9999999999995
40,1385.9999999999995,20300711.46341463,"CHI",732,173,2003,183,27,37,37,32,"linton-johnson-1",106.99999999999999,2075
41,1416.5,20300605.54999999,"MEM",154,36,2003,23,12,5,12,6,"dahntay-jones-1",131,3902.999999999999
42,1429.5000000000002,20300571.166666668,"IND",26,7,2003,2,0,1,0,0,"james-jones-1",122.00000000000001,3355
43,1473.4999999999989,20300625.170731697,"LAC",1843,499,2002.9999999999998,461,85,23,155,73,"chris-kaman-1",83,2181.9999999999986
44,1535.0000000000002,20300550.682926837,"CLE",427,145,2003,55,14,13,21,2,"jason-kapono-1",127,4318
45,1592.4999999999998,20300604.081081074,"PHI",875,330,2002.9999999999995,111,40,25,41,8,"kyle-korver-1",128,3545.0000000000014
48,1748.9999999999995,20300238.454545453,"MIN",387,88,2003,33,59,16,29,1,"keith-mcleod-1",111.00000000000001,3563.0000000000005
53,1834.4999999999998,20300854.599999998,"ORL",89,32,2002.9999999999995,24,3,2,6,2,"desmond-penigar-1",64,1784.9999999999998
54,1840.5,20300048,"MIA",18,3,2003,1,1,1,3,0,"kirk-penney-1",127,3416
58,1965,20300216.727272727,"SEA",211,84,2002.9999999999995,20,34,11,14,0,"luke-ridnour-1",96,3224.9999999999995
59,1980.4999999999993,20300926.149999995,"MEM",178,44,2003,41,7,5,14,5,"theron-smith-1",99,3256.9999999999995
60,2030.5000000000005,22050557.824999996,"SAC",1063,363,2002.9999999999998,238,50,42,48,13,"darius-songaila-1",130,3406.000000000001
61,2072.5,20300580,"LAL",28,8,2003,5,2,2,3,1,"ime-udoka-1",45,1318
62,2111.499999999999,23814034.37837837,"MIA",2638,1225,2002.9999999999995,293,348,103,250,38,"dwyane-wade-1",65,1994.9999999999993
63,2192.9999999999986,24120800.966292135,"LAL",859,206,2003,149,139,35,58,10,"luke-walton-1",129,3508.0000000000005
64,2276.4999999999995,22095420.17948718,"NOH",1036,314,2002.9999999999995,327,68,29,55,32,"david-west-1",126,4207.999999999998
65,2317.5,20300217,"UTA",77,36,2003,13,15,4,4,0,"mo-williams-1",64,2156
66,2323.5,27900279.25,"BOS",137,45,2003.9999999999998,28,3,8,13,1,"tony-allen-1",67,2103
67,2357,20400674.11864407,"TOR",737,196,2003.9999999999989,185,16,21,52,8,"rafael-araujo-1",61.999999999999986,1697.9999999999993
68,2426.499999999999,20400614.412499994,"NYK",1383,468,2003.999999999999,242,85,70,73,18,"trevor-ariza-1",24.99999999999999,790.0000000000001
69,2469,20400915.200000003,"LAC",19,0,2004,2,1,1,1,0,"maurice-baker-1",59,1988
70,2490.5,20400658.631578945,"HOU",483,118,2003.9999999999998,40,69,19,27,1,"andre-barrett-1",122.00000000000001,4294.000000000001
72,2540.5,20400616.5,"LAL",12,5,2004,3,0,0,0,0,"tony-bobbitt-1",59,1085
73,2544,20400774.400000002,"TOR",115,47,2004,22,4,5,4,2,"matt-bonner-1",131,3275
74,2558.9999999999995,21200782.199999996,"MEM",223,73,2003.9999999999995,12,29,13,12,1,"antonio-burks-1",90.99999999999999,2783.999999999999
76,2577.5000000000005,20400236.500000004,"POR",16,8,2004,1,1,0,1,0,"geno-carlisle-1",108,3553
77,2598.499999999999,20400671.555555552,"LAC",433,111,2003.9999999999998,31,51,13,24,0,"lionel-chalmers-1",123.00000000000001,3899
78,2620.5,20400624.875,"ATL",217,73,2003.9999999999998,39,16,11,16,4,"josh-childress-1",86,2459
79,2631.5,24686087.071428567,"SEA",202,66,2004.0000000000002,57,8,3,5,8,"nick-collison-1",142.00000000000003,3889.999999999999
80,2649,20400627.76190475,"SAC",72,13,2003.9999999999993,18,4,2,6,0,"erik-daniels-1",126.99999999999997,2602.9999999999995
82,2719.9999999999995,20400502.377049167,"CHI",1665,711,2003.9999999999989,322,135,48,118,27,"luol-deng-1",36.99999999999999,1149.9999999999993
83,2794.5000000000005,21764241.704545446,"CHI",2340,524,2003.999999999999,239,419,84,131,3,"chris-duhon-1",143.99999999999997,4809
84,2843.5000000000005,20400351.9,"NOH",110,27,2004,25,3,3,2,4,"corsley-edwards-1",122.99999999999999,3394
85,2861,20400481.720000006,"IND",139,29,2003.9999999999995,19,3,3,8,4,"john-edwards-1",128,1931.9999999999995
86,2877.5000000000005,20400731.125,"MEM",27,7,2003.9999999999998,2,0,0,1,0,"andre-emmett-1",128,4134
87,2889.4999999999995,20400540.625,"GSW",77,35,2004.0000000000002,3,11,2,11,0,"luis-flores-1",119.00000000000001,3653
88,2898.5,20400186,"NOH",32,14,2004,6,1,2,2,0,"matt-freije-1",121,3472
89,2906.5,26114701.071428575,"CHI",304,172,2004.0000000000002,20,26,9,31,3,"ben-gordon-1",105.99999999999999,3286.0000000000005
