"","pre_nba_group","Month","MonthBin","draft_group","mean_gs","size"
"1",1,1,1,1,6.92631578947368,152
"2",1,1,1,2,4.11666666666667,60
"3",1,1,1,3,2.876,25
"4",1,1,1,4,2.46,10
"5",1,1,1,5,5.412,25
"6",1,1,2,1,8.21079136690648,139
"7",1,1,2,2,4.39852941176471,68
"8",1,1,2,3,2.06,30
"9",1,1,2,4,2.38125,16
"10",1,1,2,5,6.19032258064516,31
"11",1,1,3,1,8.46416184971098,173
"12",1,1,3,2,4.97808219178082,73
"13",1,1,3,3,4.946875,32
"14",1,1,3,4,2.51538461538462,13
"15",1,1,3,5,6.73,30
"16",1,2,1,1,8.45793103448276,145
"17",1,2,1,2,5.6864406779661,59
"18",1,2,1,3,3.812,25
"19",1,2,1,4,1.95,8
"20",1,2,1,5,3.45714285714286,35
"21",1,2,2,1,8.5,80
"22",1,2,2,2,4.495,40
"23",1,2,2,3,3.63181818181818,22
"24",1,2,2,4,2.6,2
"25",1,2,2,5,7.07333333333333,15
"26",1,2,3,1,9.15213675213675,117
"27",1,2,3,2,4.91724137931034,58
"28",1,2,3,3,4.159375,32
"29",1,2,3,4,3.65,10
"30",1,2,3,5,4.57391304347826,23
"31",1,3,1,1,9.33445945945946,148
"32",1,3,1,2,4.38684210526316,76
"33",1,3,1,3,3.16585365853659,41
"34",1,3,1,4,3.78333333333333,12
"35",1,3,1,5,7.32068965517241,29
"36",1,3,2,1,8.83239436619718,142
"37",1,3,2,2,5.12535211267606,71
"38",1,3,2,3,3.80606060606061,33
"39",1,3,2,4,1.03333333333333,12
"40",1,3,2,5,4.54615384615385,26
"41",1,3,3,1,9.45515151515152,165
"42",1,3,3,2,5.98985507246377,69
"43",1,3,3,3,4.34117647058823,34
"44",1,3,3,4,6.97,10
"45",1,3,3,5,5.48484848484848,33
"46",1,4,1,1,10.0205673758865,141
"47",1,4,1,2,6.10847457627119,59
"48",1,4,1,3,4.48611111111111,36
"49",1,4,1,4,2.5,10
"50",1,4,1,5,5.14054054054054,37
"51",1,4,2,1,8.55531914893617,94
"52",1,4,2,2,6.38461538461539,39
"53",1,4,2,3,3.92857142857143,28
"54",1,4,2,4,1.34,10
"55",1,4,2,5,8.05,26
"56",1,4,3,1,6.21777777777778,45
"57",1,4,3,2,3.22222222222222,9
"58",1,4,3,3,2.03333333333333,9
"59",1,4,3,4,1.25,2
"60",1,4,3,5,4.55,16
"61",1,5,1,1,7.24166666666667,24
"62",1,5,1,2,1.38,5
"63",1,5,1,3,1.3,9
"64",1,5,1,4,0,1
"65",1,5,1,5,1.08571428571429,7
"66",1,5,2,1,7.26428571428571,14
"67",1,5,2,2,5.98,5
"68",1,5,2,3,4.675,4
"69",1,5,3,1,7.06666666666667,12
"70",1,5,3,2,4.35,2
"71",1,5,3,3,2.45,2
"72",1,6,2,3,0.3,2
"73",1,10,2,1,8.73333333333333,15
"74",1,10,2,2,4.2,6
"75",1,10,2,3,0.4,4
"76",1,10,2,4,0.65,2
"77",1,10,3,1,7.67391304347826,69
"78",1,10,3,2,2.45925925925926,27
"79",1,10,3,3,1.3875,16
"80",1,10,3,4,1.88571428571429,7
"81",1,10,3,5,0.725,4
"82",1,11,1,1,7.11285714285714,140
"83",1,11,1,2,2.63125,48
"84",1,11,1,3,4.36666666666667,18
"85",1,11,1,4,1.63333333333333,6
"86",1,11,1,5,8.4,13
"87",1,11,2,1,6.74926470588235,136
"88",1,11,2,2,1.625,44
"89",1,11,2,3,2.15263157894737,19
"90",1,11,2,4,1.75555555555556,9
"91",1,11,2,5,4.35,18
"92",1,11,3,1,7.71891891891892,148
"93",1,11,3,2,3.84081632653061,49
"94",1,11,3,3,0.430769230769231,26
"95",1,11,3,4,0.655555555555556,9
"96",1,11,3,5,7.45,18
"97",1,12,1,1,7.40890410958904,146
"98",1,12,1,2,3.912,50
"99",1,12,1,3,1.844,25
"100",1,12,1,4,0.0571428571428571,7
"101",1,12,1,5,6.86315789473684,19
"102",1,12,2,1,6.91408450704225,142
"103",1,12,2,2,4.50408163265306,49
"104",1,12,2,3,2.096,25
"105",1,12,2,4,1.1,7
"106",1,12,2,5,5.25714285714286,21
"107",1,12,3,1,7.080625,160
"108",1,12,3,2,3.595,60
"109",1,12,3,3,3.01538461538462,26
"110",1,12,3,4,2.78,10
"111",1,12,3,5,5.24545454545455,22
"112",2,1,1,1,7.47642585551331,263
"113",2,1,1,2,3.8015625,128
"114",2,1,1,3,2.47213114754098,61
"115",2,1,1,4,2.4695652173913,23
"116",2,1,1,5,3.12285714285714,35
"117",2,1,2,1,7.75367647058824,272
"118",2,1,2,2,4.4,147
"119",2,1,2,3,2.96538461538462,78
"120",2,1,2,4,3.67142857142857,35
"121",2,1,2,5,2.61864406779661,59
"122",2,1,3,1,7.1106529209622,291
"123",2,1,3,2,3.14181818181818,165
"124",2,1,3,3,4.40421052631579,95
"125",2,1,3,4,5.11428571428571,28
"126",2,1,3,5,1.65254237288136,59
"127",2,2,1,1,6.98565737051793,251
"128",2,2,1,2,4.3644578313253,166
"129",2,2,1,3,4.11410256410256,78
"130",2,2,1,4,3.65,26
"131",2,2,1,5,2.99393939393939,33
"132",2,2,2,1,7.49447852760736,163
"133",2,2,2,2,3.504,100
"134",2,2,2,3,3.09777777777778,45
"135",2,2,2,4,2.58888888888889,9
"136",2,2,2,5,2.17272727272727,22
"137",2,2,3,1,7.58518518518519,216
"138",2,2,3,2,4.12089552238806,134
"139",2,2,3,3,4.35915492957746,71
"140",2,2,3,4,6.205,20
"141",2,2,3,5,2.83829787234043,47
"142",2,3,1,1,7.60796812749004,251
"143",2,3,1,2,4.10980392156863,153
"144",2,3,1,3,4.62261904761905,84
