"","pre_nba_group","Month","MonthBin","round","mean_gs","size"
"1",1,1,1,1,4.86629834254144,181
"2",1,1,1,2,3.10909090909091,33
"3",1,1,1,3,4.70833333333333,24
"4",1,1,2,1,5.63841807909604,177
"5",1,1,2,2,2.32439024390244,41
"6",1,1,2,3,5.87586206896552,29
"7",1,1,3,1,5.92884615384615,208
"8",1,1,3,2,3.43720930232558,43
"9",1,1,3,3,5.67307692307692,26
"10",1,2,1,1,6.38713450292398,171
"11",1,2,1,2,3.72903225806452,31
"12",1,2,1,3,4.4258064516129,31
"13",1,2,2,1,5.41938775510204,98
"14",1,2,2,2,4.07272727272727,22
"15",1,2,2,3,3.25,12
"16",1,2,3,1,5.80833333333333,144
"17",1,2,3,2,3.74390243902439,41
"18",1,2,3,3,4.35714285714286,21
"19",1,3,1,1,5.81304347826087,184
"20",1,3,1,2,3.642,50
"21",1,3,1,3,5.21818181818182,22
"22",1,3,2,1,5.62444444444444,180
"23",1,3,2,2,2.32307692307692,39
"24",1,3,2,3,4.54615384615385,26
"25",1,3,3,1,6.73076923076923,195
"26",1,3,3,2,2.80833333333333,36
"27",1,3,3,3,5.36129032258065,31
"28",1,4,1,1,6.67341772151899,158
"29",1,4,1,2,3.76585365853659,41
"30",1,4,1,3,4.17878787878788,33
"31",1,4,2,1,6.42342342342342,111
"32",1,4,2,2,3.60606060606061,33
"33",1,4,2,3,6.71304347826087,23
"34",1,4,3,1,4.90425531914894,47
"35",1,4,3,2,1.89090909090909,11
"36",1,4,3,3,5.04,15
"37",1,5,1,1,6.0962962962963,27
"38",1,5,1,2,1.53333333333333,9
"39",1,5,1,3,1.68333333333333,6
"40",1,5,2,1,6.92631578947368,19
"41",1,5,2,2,4.675,4
"42",1,5,3,1,6.05,12
"43",1,5,3,2,7,1
"44",1,6,2,2,0.3,2
"45",1,10,2,1,6.09473684210526,19
"46",1,10,2,2,0.483333333333333,6
"47",1,10,3,1,4.76296296296296,81
"48",1,10,3,2,1.70454545454545,22
"49",1,10,3,3,0.725,4
"50",1,11,1,1,4.79631901840491,163
"51",1,11,1,2,4.22727272727273,22
"52",1,11,1,3,5.43,10
"53",1,11,2,1,4.47098765432099,162
"54",1,11,2,2,2.18148148148148,27
"55",1,11,2,3,4.35,18
"56",1,11,3,1,5.20535714285714,168
"57",1,11,3,2,1.21034482758621,29
"58",1,11,3,3,4.72857142857143,14
"59",1,12,1,1,5.49190751445087,173
"60",1,12,1,2,1.56774193548387,31
"61",1,12,1,3,4.86923076923077,13
"62",1,12,2,1,5.09808917197452,157
"63",1,12,2,2,2.19333333333333,30
"64",1,12,2,3,4.585,20
"65",1,12,3,1,4.76182795698925,186
"66",1,12,3,2,3.10857142857143,35
"67",1,12,3,3,3.06842105263158,19
"68",2,1,1,1,5.32443181818182,352
"69",2,1,1,2,2.38205128205128,78
"70",2,1,1,3,3.12285714285714,35
"71",2,1,2,1,5.53586956521739,368
"72",2,1,2,2,3.28269230769231,104
"73",2,1,2,3,2.89298245614035,57
"74",2,1,3,1,5.34708737864078,412
"75",2,1,3,2,4.64285714285714,119
"76",2,1,3,3,1.9,56
"77",2,2,1,1,4.90268817204301,372
"78",2,2,1,2,3.71290322580645,93
"79",2,2,1,3,3.61666666666667,30
"80",2,2,2,1,5.10347826086957,230
"81",2,2,2,2,3.01296296296296,54
"82",2,2,2,3,2.37142857142857,21
"83",2,2,3,1,5.27824675324675,308
"84",2,2,3,2,4.08414634146341,82
"85",2,2,3,3,3.07111111111111,45
"86",2,3,1,1,5.45694444444444,360
"87",2,3,1,2,4.60744680851064,94
"88",2,3,1,3,3.11967213114754,61
"89",2,3,2,1,5.72763157894737,380
"90",2,3,2,2,4.07333333333333,90
"91",2,3,2,3,3.51617647058824,68
"92",2,3,3,1,5.64678217821782,404
"93",2,3,3,2,3.83669724770642,109
"94",2,3,3,3,3.59058823529412,85
"95",2,4,1,1,6.02338709677419,372
"96",2,4,1,2,4.41981132075472,106
"97",2,4,1,3,3.87727272727273,88
"98",2,4,2,1,6.01212121212121,231
"99",2,4,2,2,4.26049382716049,81
"100",2,4,2,3,4.58571428571429,56
"101",2,4,3,1,4.49638554216867,83
"102",2,4,3,2,4.008,25
"103",2,4,3,3,1.78,10
"104",2,5,1,1,3.59821428571429,56
"105",2,5,1,2,0.675,16
"106",2,5,1,3,-0.75,4
"107",2,5,2,1,4.11304347826087,23
"108",2,5,2,2,1.91538461538462,13
"109",2,5,2,3,0.3,1
"110",2,5,3,1,4.21,10
"111",2,5,3,2,4.65714285714286,7
"112",2,5,3,3,1.4,1
"113",2,6,1,1,3.5,2
"114",2,6,1,2,2.78,5
"115",2,6,1,3,-0.7,1
"116",2,6,2,2,6.2,2
"117",2,6,2,3,-0.8,1
"118",2,10,2,1,4.84782608695652,23
"119",2,10,2,2,2.17,10
"120",2,10,2,3,4.76666666666667,3
"121",2,10,3,1,5.225,144
"122",2,10,3,2,2.8,30
"123",2,10,3,3,1.855,20
"124",2,11,1,1,5.12712933753943,317
"125",2,11,1,2,2.6625,80
"126",2,11,1,3,1.67307692307692,26
"127",2,11,2,1,4.83459119496855,318
"128",2,11,2,2,3.10612244897959,98
"129",2,11,2,3,1.26285714285714,35
"130",2,11,3,1,4.88932926829268,328
"131",2,11,3,2,2.7325,80
"132",2,11,3,3,2.24705882352941,34
"133",2,12,1,1,5.0256329113924,316
"134",2,12,1,2,2.8025,80
"135",2,12,1,3,2.99142857142857,35
"136",2,12,2,1,5.20557184750733,341
"137",2,12,2,2,2.25747126436782,87
"138",2,12,2,3,1.66,35
"139",2,12,3,1,4.47040229885057,348
"140",2,12,3,2,2.75301204819277,83
"141",2,12,3,3,3.05806451612903,31
"142",3,1,1,1,5.03220973782772,267
"143",3,1,1,2,3.6456,125
"144",3,1,1,3,2.85076923076923,65
"145",3,1,2,1,4.66080586080586,273
"146",3,1,2,2,3.4152380952381,105
"147",3,1,2,3,2.83709677419355,62
"148",3,1,3,1,4.43194888178914,313
"149",3,1,3,2,3.67073170731707,123
"150",3,1,3,3,3.05064935064935,77
"151",3,2,1,1,4.86877323420074,269
"152",3,2,1,2,3.2392523364486,107
"153",3,2,1,3,3.39480519480519,77
"154",3,2,2,1,4.54585635359116,181
"155",3,2,2,2,4.00847457627119,59
"156",3,2,2,3,2.91315789473684,38
"157",3,2,3,1,4.75137614678899,218
"158",3,2,3,2,3.06947368421053,95
"159",3,2,3,3,3.398,50
"160",3,3,1,1,5.14444444444444,288
"161",3,3,1,2,3.59568965517241,116
"162",3,3,1,3,2.71645569620253,79
"163",3,3,2,1,4.97712418300654,306
"164",3,3,2,2,3.66861313868613,137
"165",3,3,2,3,2.20454545454545,88
"166",3,3,3,1,5.52766666666667,300
"167",3,3,3,2,3.51032258064516,155
"168",3,3,3,3,2.96315789473684,95
"169",3,4,1,1,5.24226804123711,291
"170",3,4,1,2,4.65075757575758,132
"171",3,4,1,3,3.12842105263158,95
"172",3,4,2,1,5.90622222222222,225
"173",3,4,2,2,4.1787037037037,108
"174",3,4,2,3,3.61052631578947,76
"175",3,4,3,1,4.06777777777778,90
"176",3,4,3,2,3.59117647058824,34
"177",3,4,3,3,2.12941176470588,17
"178",3,5,1,1,3.43125,32
"179",3,5,1,2,2.14090909090909,22
"180",3,5,1,3,2.05294117647059,17
"181",3,5,2,1,1.93157894736842,19
"182",3,5,2,2,3.625,8
"183",3,5,2,3,1.96,10
"184",3,5,3,1,0.933333333333333,9
"185",3,5,3,2,3.81666666666667,12
"186",3,5,3,3,2.75,6
"187",3,6,1,1,0,1
"188",3,6,1,2,6.93333333333333,3
"189",3,6,1,3,0.72,5
"190",3,6,2,1,0,1
"191",3,6,2,2,2.8,1
"192",3,10,2,1,5.02,10
"193",3,10,2,2,2.91666666666667,6
