"","pre_nba_group","Month","MonthBin","round","mean_gs","size"
"1",1,1,1,1,4.86629834254144,181
"2",1,1,1,2,3.10909090909091,33
"3",1,1,1,3,4.70833333333333,24
"4",1,1,2,1,5.63841807909604,177
"5",1,1,2,2,2.32439024390244,41
"6",1,1,2,3,5.87586206896552,29
"7",1,1,3,1,5.92884615384615,208
"8",1,1,3,2,3.43720930232558,43
"9",1,1,3,3,5.67307692307692,26
"10",1,2,1,1,6.38713450292398,171
"11",1,2,1,2,3.72903225806452,31
"12",1,2,1,3,4.4258064516129,31
"13",1,2,2,1,5.41938775510204,98
"14",1,2,2,2,4.07272727272727,22
"15",1,2,2,3,3.25,12
"16",1,2,3,1,5.80833333333333,144
"17",1,2,3,2,3.74390243902439,41
"18",1,2,3,3,4.35714285714286,21
"19",1,3,1,1,5.81304347826087,184
"20",1,3,1,2,3.642,50
"21",1,3,1,3,5.21818181818182,22
"22",1,3,2,1,5.62444444444444,180
"23",1,3,2,2,2.32307692307692,39
"24",1,3,2,3,4.54615384615385,26
"25",1,3,3,1,6.73076923076923,195
"26",1,3,3,2,2.80833333333333,36
"27",1,3,3,3,5.36129032258065,31
"28",1,4,1,1,6.67341772151899,158
"29",1,4,1,2,3.76585365853659,41
"30",1,4,1,3,4.17878787878788,33
"31",1,4,2,1,6.42342342342342,111
"32",1,4,2,2,3.60606060606061,33
"33",1,4,2,3,6.71304347826087,23
"34",1,10,2,1,6.09473684210526,19
"35",1,10,2,2,0.483333333333333,6
"36",1,10,3,1,4.76296296296296,81
"37",1,10,3,2,1.70454545454545,22
"38",1,10,3,3,0.725,4
"39",1,11,1,1,4.79631901840491,163
"40",1,11,1,2,4.22727272727273,22
"41",1,11,1,3,5.43,10
"42",1,11,2,1,4.47098765432099,162
"43",1,11,2,2,2.18148148148148,27
"44",1,11,2,3,4.35,18
"45",1,11,3,1,5.20535714285714,168
"46",1,11,3,2,1.21034482758621,29
"47",1,11,3,3,4.72857142857143,14
"48",1,12,1,1,5.49190751445087,173
"49",1,12,1,2,1.56774193548387,31
"50",1,12,1,3,4.86923076923077,13
"51",1,12,2,1,5.09808917197452,157
"52",1,12,2,2,2.19333333333333,30
"53",1,12,2,3,4.585,20
"54",1,12,3,1,4.76182795698925,186
"55",1,12,3,2,3.10857142857143,35
"56",1,12,3,3,3.06842105263158,19
"57",2,1,1,1,5.32443181818182,352
"58",2,1,1,2,2.38205128205128,78
"59",2,1,1,3,3.12285714285714,35
"60",2,1,2,1,5.53586956521739,368
"61",2,1,2,2,3.28269230769231,104
"62",2,1,2,3,2.89298245614035,57
"63",2,1,3,1,5.34708737864078,412
"64",2,1,3,2,4.64285714285714,119
"65",2,1,3,3,1.9,56
"66",2,2,1,1,4.90268817204301,372
"67",2,2,1,2,3.71290322580645,93
"68",2,2,1,3,3.61666666666667,30
"69",2,2,2,1,5.10347826086957,230
"70",2,2,2,2,3.01296296296296,54
"71",2,2,2,3,2.37142857142857,21
"72",2,2,3,1,5.27824675324675,308
"73",2,2,3,2,4.08414634146341,82
"74",2,2,3,3,3.07111111111111,45
"75",2,3,1,1,5.45694444444444,360
"76",2,3,1,2,4.60744680851064,94
"77",2,3,1,3,3.11967213114754,61
"78",2,3,2,1,5.72763157894737,380
"79",2,3,2,2,4.07333333333333,90
"80",2,3,2,3,3.51617647058824,68
"81",2,3,3,1,5.64678217821782,404
"82",2,3,3,2,3.83669724770642,109
"83",2,3,3,3,3.59058823529412,85
"84",2,4,1,1,6.02338709677419,372
"85",2,4,1,2,4.41981132075472,106
"86",2,4,1,3,3.87727272727273,88
"87",2,4,2,1,6.01212121212121,231
"88",2,4,2,2,4.26049382716049,81
"89",2,4,2,3,4.58571428571429,56
"90",2,10,2,1,4.84782608695652,23
"91",2,10,2,2,2.17,10
"92",2,10,2,3,4.76666666666667,3
"93",2,10,3,1,5.225,144
"94",2,10,3,2,2.8,30
"95",2,10,3,3,1.855,20
"96",2,11,1,1,5.12712933753943,317
"97",2,11,1,2,2.6625,80
"98",2,11,1,3,1.67307692307692,26
"99",2,11,2,1,4.83459119496855,318
"100",2,11,2,2,3.10612244897959,98
"101",2,11,2,3,1.26285714285714,35
"102",2,11,3,1,4.88932926829268,328
"103",2,11,3,2,2.7325,80
"104",2,11,3,3,2.24705882352941,34
"105",2,12,1,1,5.0256329113924,316
"106",2,12,1,2,2.8025,80
"107",2,12,1,3,2.99142857142857,35
"108",2,12,2,1,5.20557184750733,341
"109",2,12,2,2,2.25747126436782,87
"110",2,12,2,3,1.66,35
"111",2,12,3,1,4.47040229885057,348
"112",2,12,3,2,2.75301204819277,83
"113",2,12,3,3,3.05806451612903,31
"114",3,1,1,1,5.03220973782772,267
"115",3,1,1,2,3.6456,125
"116",3,1,1,3,2.85076923076923,65
"117",3,1,2,1,4.66080586080586,273
"118",3,1,2,2,3.4152380952381,105
"119",3,1,2,3,2.83709677419355,62
"120",3,1,3,1,4.43194888178914,313
"121",3,1,3,2,3.67073170731707,123
"122",3,1,3,3,3.05064935064935,77
"123",3,2,1,1,4.86877323420074,269
"124",3,2,1,2,3.2392523364486,107
"125",3,2,1,3,3.39480519480519,77
"126",3,2,2,1,4.54585635359116,181
"127",3,2,2,2,4.00847457627119,59
"128",3,2,2,3,2.91315789473684,38
"129",3,2,3,1,4.75137614678899,218
"130",3,2,3,2,3.06947368421053,95
"131",3,2,3,3,3.398,50
"132",3,3,1,1,5.14444444444444,288
"133",3,3,1,2,3.59568965517241,116
"134",3,3,1,3,2.71645569620253,79
"135",3,3,2,1,4.97712418300654,306
"136",3,3,2,2,3.66861313868613,137
"137",3,3,2,3,2.20454545454545,88
"138",3,3,3,1,5.52766666666667,300
"139",3,3,3,2,3.51032258064516,155
"140",3,3,3,3,2.96315789473684,95
"141",3,4,1,1,5.24226804123711,291
"142",3,4,1,2,4.65075757575758,132
"143",3,4,1,3,3.12842105263158,95
"144",3,4,2,1,5.90622222222222,225
"145",3,4,2,2,4.1787037037037,108
"146",3,4,2,3,3.61052631578947,76
"147",3,10,2,1,5.02,10
"148",3,10,2,2,2.91666666666667,6
"149",3,10,2,3,3.22857142857143,7
"150",3,10,3,1,4.46410256410256,78
"151",3,10,3,2,2.62619047619048,42
"152",3,10,3,3,3.475,12
"153",3,11,1,1,4.12159090909091,264
"154",3,11,1,2,3.53372093023256,86
"155",3,11,1,3,2.4,26
"156",3,11,2,1,4.64658634538153,249
"157",3,11,2,2,2.64166666666667,96
"158",3,11,2,3,1.89423076923077,52
"159",3,11,3,1,4.71954887218045,266
"160",3,11,3,2,2.77363636363636,110
"161",3,11,3,3,2.41020408163265,49
"162",3,12,1,1,4.35238095238095,252
"163",3,12,1,2,3.21442307692308,104
"164",3,12,1,3,2.12765957446809,47
"165",3,12,2,1,4.15905172413793,232
"166",3,12,2,2,3.56388888888889,108
"167",3,12,2,3,2.05217391304348,46
"168",3,12,3,1,4.21412639405204,269
"169",3,12,3,2,3.49,120
"170",3,12,3,3,1.88333333333333,42
"171",4,1,1,1,4.48648648648649,259
"172",4,1,1,2,3.23598130841122,214
"173",4,1,1,3,2.85159574468085,188
"174",4,1,2,1,4.47170542635659,258
"175",4,1,2,2,3.11153846153846,260
"176",4,1,2,3,2.98820754716981,212
"177",4,1,3,1,3.87582417582418,273
"178",4,1,3,2,3.00693069306931,303
"179",4,1,3,3,2.99455252918288,257
"180",4,2,1,1,4.66071428571429,252
"181",4,2,1,2,3.09857651245552,281
"182",4,2,1,3,2.84876033057851,242
"183",4,2,2,1,4.8077380952381,168
"184",4,2,2,2,3.15810055865922,179
"185",4,2,2,3,2.69059829059829,117
"186",4,2,3,1,4.56923076923077,221
"187",4,2,3,2,3.34977578475336,223
"188",4,2,3,3,3.12138364779874,159
