"","pre_nba_group","MonthSegment","round","mean_gs","size"
"1",1,2,1,6.09473684210526,19
"2",1,2,2,0.483333333333333,6
"3",1,3,1,4.76296296296296,81
"4",1,3,2,1.70454545454545,22
"5",1,3,3,0.725,4
"6",1,4,1,4.79631901840491,163
"7",1,4,2,4.22727272727273,22
"8",1,4,3,5.43,10
"9",1,5,1,4.47098765432099,162
"10",1,5,2,2.18148148148148,27
"11",1,5,3,4.35,18
"12",1,6,1,5.20535714285714,168
"13",1,6,2,1.21034482758621,29
"14",1,6,3,4.72857142857143,14
"15",1,7,1,5.49190751445087,173
"16",1,7,2,1.56774193548387,31
"17",1,7,3,4.86923076923077,13
"18",1,8,1,5.09808917197452,157
"19",1,8,2,2.19333333333333,30
"20",1,8,3,4.585,20
"21",1,9,1,4.76182795698925,186
"22",1,9,2,3.10857142857143,35
"23",1,9,3,3.06842105263158,19
"24",1,10,1,4.86629834254144,181
"25",1,10,2,3.10909090909091,33
"26",1,10,3,4.70833333333333,24
"27",1,11,1,5.63841807909604,177
"28",1,11,2,2.32439024390244,41
"29",1,11,3,5.87586206896552,29
"30",1,12,1,5.92884615384615,208
"31",1,12,2,3.43720930232558,43
"32",1,12,3,5.67307692307692,26
"33",1,13,1,6.38713450292398,171
"34",1,13,2,3.72903225806452,31
"35",1,13,3,4.4258064516129,31
"36",1,14,1,5.41938775510204,98
"37",1,14,2,4.07272727272727,22
"38",1,14,3,3.25,12
"39",1,15,1,5.80833333333333,144
"40",1,15,2,3.74390243902439,41
"41",1,15,3,4.35714285714286,21
"42",1,16,1,5.81304347826087,184
"43",1,16,2,3.642,50
"44",1,16,3,5.21818181818182,22
"45",1,17,1,5.62444444444444,180
"46",1,17,2,2.32307692307692,39
"47",1,17,3,4.54615384615385,26
"48",1,18,1,6.73076923076923,195
"49",1,18,2,2.80833333333333,36
"50",1,18,3,5.36129032258065,31
"51",1,19,1,6.67341772151899,158
"52",1,19,2,3.76585365853659,41
"53",1,19,3,4.17878787878788,33
"54",1,20,1,6.42342342342342,111
"55",1,20,2,3.60606060606061,33
"56",1,20,3,6.71304347826087,23
"57",2,2,1,4.84782608695652,23
"58",2,2,2,2.17,10
"59",2,2,3,4.76666666666667,3
"60",2,3,1,5.225,144
"61",2,3,2,2.8,30
"62",2,3,3,1.855,20
"63",2,4,1,5.12712933753943,317
"64",2,4,2,2.6625,80
"65",2,4,3,1.67307692307692,26
"66",2,5,1,4.83459119496855,318
"67",2,5,2,3.10612244897959,98
"68",2,5,3,1.26285714285714,35
"69",2,6,1,4.88932926829268,328
"70",2,6,2,2.7325,80
"71",2,6,3,2.24705882352941,34
"72",2,7,1,5.0256329113924,316
"73",2,7,2,2.8025,80
"74",2,7,3,2.99142857142857,35
"75",2,8,1,5.20557184750733,341
"76",2,8,2,2.25747126436782,87
"77",2,8,3,1.66,35
"78",2,9,1,4.47040229885057,348
"79",2,9,2,2.75301204819277,83
"80",2,9,3,3.05806451612903,31
"81",2,10,1,5.32443181818182,352
"82",2,10,2,2.38205128205128,78
"83",2,10,3,3.12285714285714,35
"84",2,11,1,5.53586956521739,368
"85",2,11,2,3.28269230769231,104
"86",2,11,3,2.89298245614035,57
"87",2,12,1,5.34708737864078,412
"88",2,12,2,4.64285714285714,119
"89",2,12,3,1.9,56
"90",2,13,1,4.90268817204301,372
"91",2,13,2,3.71290322580645,93
"92",2,13,3,3.61666666666667,30
"93",2,14,1,5.10347826086957,230
"94",2,14,2,3.01296296296296,54
"95",2,14,3,2.37142857142857,21
"96",2,15,1,5.27824675324675,308
"97",2,15,2,4.08414634146341,82
"98",2,15,3,3.07111111111111,45
"99",2,16,1,5.45694444444444,360
"100",2,16,2,4.60744680851064,94
"101",2,16,3,3.11967213114754,61
"102",2,17,1,5.72763157894737,380
"103",2,17,2,4.07333333333333,90
"104",2,17,3,3.51617647058824,68
"105",2,18,1,5.64678217821782,404
"106",2,18,2,3.83669724770642,109
"107",2,18,3,3.59058823529412,85
"108",2,19,1,6.02338709677419,372
"109",2,19,2,4.41981132075472,106
"110",2,19,3,3.87727272727273,88
"111",2,20,1,6.01212121212121,231
"112",2,20,2,4.26049382716049,81
"113",2,20,3,4.58571428571429,56
"114",3,2,1,5.02,10
"115",3,2,2,2.91666666666667,6
"116",3,2,3,3.22857142857143,7
"117",3,3,1,4.46410256410256,78
"118",3,3,2,2.62619047619048,42
"119",3,3,3,3.475,12
"120",3,4,1,4.12159090909091,264
"121",3,4,2,3.53372093023256,86
"122",3,4,3,2.4,26
"123",3,5,1,4.64658634538153,249
"124",3,5,2,2.64166666666667,96
"125",3,5,3,1.89423076923077,52
"126",3,6,1,4.71954887218045,266
"127",3,6,2,2.77363636363636,110
"128",3,6,3,2.41020408163265,49
"129",3,7,1,4.35238095238095,252
"130",3,7,2,3.21442307692308,104
"131",3,7,3,2.12765957446809,47
"132",3,8,1,4.15905172413793,232
"133",3,8,2,3.56388888888889,108
"134",3,8,3,2.05217391304348,46
"135",3,9,1,4.21412639405204,269
"136",3,9,2,3.49,120
"137",3,9,3,1.88333333333333,42
"138",3,10,1,5.03220973782772,267
"139",3,10,2,3.6456,125
"140",3,10,3,2.85076923076923,65
"141",3,11,1,4.66080586080586,273
"142",3,11,2,3.4152380952381,105
"143",3,11,3,2.83709677419355,62
"144",3,12,1,4.43194888178914,313
"145",3,12,2,3.67073170731707,123
"146",3,12,3,3.05064935064935,77
"147",3,13,1,4.86877323420074,269
"148",3,13,2,3.2392523364486,107
"149",3,13,3,3.39480519480519,77
"150",3,14,1,4.54585635359116,181
"151",3,14,2,4.00847457627119,59
"152",3,14,3,2.91315789473684,38
"153",3,15,1,4.75137614678899,218
"154",3,15,2,3.06947368421053,95
"155",3,15,3,3.398,50
"156",3,16,1,5.14444444444444,288
"157",3,16,2,3.59568965517241,116
"158",3,16,3,2.71645569620253,79
"159",3,17,1,4.97712418300654,306
"160",3,17,2,3.66861313868613,137
"161",3,17,3,2.20454545454545,88
"162",3,18,1,5.52766666666667,300
"163",3,18,2,3.51032258064516,155
"164",3,18,3,2.96315789473684,95
"165",3,19,1,5.24226804123711,291
"166",3,19,2,4.65075757575758,132
"167",3,19,3,3.12842105263158,95
"168",3,20,1,5.90622222222222,225
"169",3,20,2,4.1787037037037,108
"170",3,20,3,3.61052631578947,76
"171",4,2,1,3.48333333333333,6
"172",4,2,2,1.18,10
"173",4,2,3,0.633333333333333,9
"174",4,3,1,3.41095890410959,73
"175",4,3,2,3.23636363636364,77
"176",4,3,3,1.53802816901408,71
"177",4,4,1,3.14166666666667,216
"178",4,4,2,2.103125,192
"179",4,4,3,2.46830985915493,142
"180",4,5,1,3.78536585365854,205
"181",4,5,2,2.88756756756757,185
"182",4,5,3,2.61777777777778,180
"183",4,6,1,3.45948275862069,232
"184",4,6,2,2.84095238095238,210
"185",4,6,3,2.57142857142857,203
"186",4,7,1,3.78311111111111,225
"187",4,7,2,2.790625,192
"188",4,7,3,2.80224719101124,178
"189",4,8,1,3.72764976958525,217
"190",4,8,2,2.75068493150685,219
"191",4,8,3,2.62804232804233,189
