"","pre_nba_group","pre_nba_group_str","MonthStr","MonthSegment","MonthBin","round","cbb_minutes","cbb_games","intl_game","intl_minutes","mean_gs","mean_gs_per_36","size","bin_date","draft_round","text"
"1",1,"1 (NCAA)","1 (Oct)",2,2,1,7,6,0,0,2.9,5.494736842,1,"11th-20th","1st round","Time: 1 (Oct)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 5.49"
"2",1,"1 (NCAA)","1 (Oct)",2,2,1,838,32,0,0,7,10.95652174,1,"11th-20th","1st round","Time: 1 (Oct)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 10.96"
"3",1,"1 (NCAA)","1 (Oct)",2,2,1,892,25,0,0,3.95,8.011764706,2,"11th-20th","1st round","Time: 1 (Oct)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 8.01"
"4",1,"1 (NCAA)","1 (Oct)",2,2,1,965,29,0,0,8.75,8.5135135115,2,"11th-20th","1st round","Time: 1 (Oct)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 8.51"
"5",1,"1 (NCAA)","1 (Oct)",2,2,1,1132,32,0,0,5.5,6,1,"11th-20th","1st round","Time: 1 (Oct)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 6"
"6",1,"1 (NCAA)","1 (Oct)",2,2,1,1151,33,0,0,7.9,7.686486486,1,"11th-20th","1st round","Time: 1 (Oct)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 7.69"
"7",1,"1 (NCAA)","1 (Oct)",2,2,2,7,6,0,0,2.9,5.494736842,1,"11th-20th","2nd round","Time: 1 (Oct)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 2nd round
Size: 1
Avg. Game Score: 5.49"
"8",1,"1 (NCAA)","1 (Oct)",2,2,2,156,32,0,0,1.3,7.8,1,"11th-20th","2nd round","Time: 1 (Oct)	11th-20th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 2nd round
Size: 1
Avg. Game Score: 7.8"
"9",1,"1 (NCAA)","1 (Oct)",3,3,1,7,6,0,0,1.9,4.023529412,1,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 4.02"
"10",1,"1 (NCAA)","1 (Oct)",3,3,1,748,32,0,0,2.5,5,1,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 5"
"11",1,"1 (NCAA)","1 (Oct)",3,3,1,754,34,0,0,6.1,10.7,2,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 10.7"
"12",1,"1 (NCAA)","1 (Oct)",3,3,1,828,32,0,0,1.5,3.375,1,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 3.38"
"13",1,"1 (NCAA)","1 (Oct)",3,3,1,838,32,0,0,3.43333333333333,7.93142857133333,3,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 3
Avg. Game Score: 7.93"
"14",1,"1 (NCAA)","1 (Oct)",3,3,1,846,34,0,0,4.3,8.6,1,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 8.6"
"15",1,"1 (NCAA)","1 (Oct)",3,3,1,890,31,0,0,1.5,5.4,1,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 5.4"
"16",1,"1 (NCAA)","1 (Oct)",3,3,1,938,34,0,0,3.9,9.103846155,2,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 9.1"
"17",1,"1 (NCAA)","1 (Oct)",3,3,1,961,31,0,0,2.5,4.090909091,1,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 4.09"
"18",1,"1 (NCAA)","1 (Oct)",3,3,1,965,29,0,0,6.1,6.274285714,1,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 6.27"
"19",1,"1 (NCAA)","1 (Oct)",3,3,1,965,34,0,0,2.2,6.092307692,1,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 6.09"
