"br_url","Month","Minutes","Points","Rebounds","Assists","Steals","Turnovers","Blocks","First","Last","PlayerIndex","CollegeGames","CollegeMinutes","Pts36","Ast36","Reb36","Stl36","TO36","Blk36","CollegeMPG"
"a.j.-price-1",1,339,168,31,40,12,29,1,"A.J.","Price",,,,17.84070796460177,4.2477876106194685,3.2920353982300883,1.2743362831858407,3.079646017699115,0.10619469026548672,
"a.j.-price-1",2,76,33,7,12,3,3,0,"A.J.","Price",,,,15.631578947368421,5.684210526315789,3.31578947368421,1.4210526315789473,1.4210526315789473,0,
"a.j.-price-1",3,215,98,25,28,15,16,2,"A.J.","Price",,,,16.409302325581397,4.688372093023256,4.186046511627907,2.511627906976744,2.6790697674418604,0.33488372093023255,
"a.j.-price-1",4,138,68,10,17,4,8,0,"A.J.","Price",,,,17.73913043478261,4.434782608695652,2.608695652173913,1.0434782608695652,2.0869565217391304,0,
"a.j.-price-1",10,1,0,0,0,0,0,0,"A.J.","Price",,,,0,0,0,0,0,0,
"a.j.-price-1",11,31,16,1,2,1,1,0,"A.J.","Price",,,,18.58064516129032,2.32258064516129,1.161290322580645,1.161290322580645,1.161290322580645,0,
"a.j.-price-1",12,63,27,14,7,0,2,0,"A.J.","Price",,,,15.428571428571427,4,8,0,1.1428571428571428,0,
"aaron-brooks-1",1,218,80,19,28,8,16,2,"Aaron","Brooks",296.0000000000001,114.99999999999997,3760,13.211009174311927,4.623853211009175,3.137614678899083,1.3211009174311927,2.6422018348623855,0.3302752293577982,32.695652173913054
"aaron-brooks-1",2,118,38,12,17,2,7,1,"Aaron","Brooks",296.00000000000006,114.99999999999997,3760,11.59322033898305,5.186440677966102,3.6610169491525424,0.6101694915254238,2.135593220338983,0.3050847457627119,32.695652173913054
"aaron-brooks-1",3,25,18,3,3,0,5,0,"Aaron","Brooks",296,115,3760,25.919999999999998,4.32,4.32,0,7.2,0,32.69565217391305
"aaron-brooks-1",4,192,101,19,26,3,10,1,"Aaron","Brooks",296.00000000000006,114.99999999999997,3760,18.9375,4.875,3.5625,0.5625,1.875,0.1875,32.695652173913054
"aaron-brooks-1",5,8,5,2,0,0,0,0,"Aaron","Brooks",296,115,3760,22.5,0,9,0,0,0,32.69565217391305
"aaron-brooks-1",11,3,5,0,0,0,0,0,"Aaron","Brooks",296,115,3760,60,0,0,0,0,0,32.69565217391305
"aaron-brooks-1",12,95,42,7,16,0,9,1,"Aaron","Brooks",296,114.99999999999999,3760,15.91578947368421,6.063157894736842,2.6526315789473682,0,3.4105263157894736,0.37894736842105264,32.69565217391305
"aaron-gordon-1",1,129,48,24,3,2,3,2,"Aaron","Gordon",779,38,1185,13.395348837209301,0.8372093023255813,6.697674418604651,0.5581395348837209,0.8372093023255813,0.5581395348837209,31.18421052631579
