"","nameurl","games","minutes"
"1","carmelo-anthony-1","35","1274"
"2","marcus-banks-1","63","2160"
"3",NA,NA,NA
"4","matt-barnes-1","121","2734"
"5",NA,NA,NA
"6","troy-bell-1","122","4355"
"7","steve-blake-1","138","4319"
"8","keith-bogans-1","135","3915"
"9","curtis-borchardt-1","66","1425"
"10","chris-bosh-1","31","961"
"11","torraye-braggs-1","59","1823"
"12",NA,NA,NA
"13","matt-carroll-1","133","4149"
"14","maurice-carter-1","108","2732"
"15","brian-cook-1","132","3392"
"16","omar-cook-1","29","1107"
"17","marquis-daniels-1","111","3185"
"18","josh-davis-1","119","3129"
"19",NA,NA,NA
"20","kaniel-dickens-1","55","1221"
"21","ronald-dupree-1","129","3715"
"22",NA,NA,NA
"23","francisco-elson-1","58","1148"
"24","desmond-ferguson-1","116","3108"
"25",NA,NA,NA
"26","richie-frahm-1","130","3380"
"27","hiram-fuller-1","60","1224"
"28","reece-gaines-1","125","3950"
"29",NA,NA,NA
"30","willie-green-1","124","3720"
"31","ben-handlogten-1","109","2616"
"32","travis-hansen-1","86","2356"
"33","udonis-haslem-1","130","3237"
"34","jarvis-hayes-1","84","2637"
"35","kirk-hinrich-1","141","4187"
"36","josh-howard-1","127","3530"
"37","brandon-hunter-1","119","3879"
"38",NA,NA,NA
"39","britton-johnsen-1","109","2855"
"40","linton-johnson-1","107","2075"
"41","dahntay-jones-1","131","3903"
"42","james-jones-1","122","3355"
"43","chris-kaman-1","83","2182"
"44","jason-kapono-1","127","4318"
"45","kyle-korver-1","128","3545"
"46",NA,NA,NA
"47",NA,NA,NA
"48","keith-mcleod-1","111","3563"
"49",NA,NA,NA
"50",NA,NA,NA
"51",NA,NA,NA
"52",NA,NA,NA
"53","desmond-penigar-1","64","1785"
"54","kirk-penney-1","127","3416"
"55",NA,NA,NA
"56",NA,NA,NA
"57",NA,NA,NA
"58","luke-ridnour-1","96","3225"
"59","theron-smith-1","99","3257"
"60","darius-songaila-1","130","3406"
"61","ime-udoka-1","45","1318"
"62","dwyane-wade-1","65","1995"
"63","luke-walton-1","129","3508"
"64","david-west-1","126","4208"
"65","mo-williams-1","64","2156"
"66","tony-allen-1","67","2103"
"67","rafael-araujo-1","62","1698"
"68","trevor-ariza-1","25","790"
"69","maurice-baker-1","59","1988"
"70","andre-barrett-1","122","4294"
"71",NA,NA,NA
"72","tony-bobbitt-1","59","1085"
"73","matt-bonner-1","131","3275"
"74","antonio-burks-1","91","2784"
"75",NA,NA,NA
"76","geno-carlisle-1","108","3553"
"77","lionel-chalmers-1","123","3899"
"78","josh-childress-1","86","2459"
"79","nick-collison-1","142","3890"
"80","erik-daniels-1","127","2603"
"81",NA,NA,NA
"82","luol-deng-1","37","1150"
"83","chris-duhon-1","144","4809"
"84","corsley-edwards-1","123","3394"
"85","john-edwards-1","128","1932"
"86","andre-emmett-1","128","4134"
"87","luis-flores-1","119","3653"
"88","matt-freije-1","121","3472"
"89","ben-gordon-1","106","3286"
"90","devin-harris-1","96","3360"
"91","david-harrison-1","88","2481"
"92",NA,NA,NA
"93","kris-humphries-1","29","988"
"94","andre-iguodala-1","62","1574"
"95","royal-ivey-1","133","3285"
"96","luke-jackson-1","126","3666"
"97",NA,NA,NA
"98",NA,NA,NA
"99","mark-jones-1","112","3976"
"100",NA,NA,NA
"101",NA,NA,NA
"102","brandin-knight-1","127","4305"
"103",NA,NA,NA
"104",NA,NA,NA
"105","kevin-martin-1","79","2512"
"106","jameer-nelson-1","125","4312"
"107","emeka-okafor-1","103","3275"
"108",NA,NA,NA
"109","justin-reed-1","122","3501"
"110","jared-reiner-1","109","1994"
"111","bernard-robinson-1","120","3672"
"112","quinton-ross-1","119","3617"
"113",NA,NA,NA
"114",NA,NA,NA
"115",NA,NA,NA
"116","josh-smith-1","4","30"
"117","kirk-snyder-1","84","2587"
"118","pape-sow-1","72","2332"
"119","awvee-storey-1","102","2346"
"120",NA,NA,NA
"121",NA,NA,NA
"122",NA,NA,NA
"123","billy-thomas-1","137","2370"
"124","james-thomas-1","134","2894"
"125",NA,NA,NA
"126",NA,NA,NA
"127","jackson-vroman-1","63","1927"
"128",NA,NA,NA
"129","delonte-west-1","89","2385"
"130","damien-wilkins-1","117","3556"
"131",NA,NA,NA
"132","alex-acker-1","88","3027"
"133","alan-anderson-1","126","3376"
"134",NA,NA,NA
"135","earl-barron-1","128","2534"
"136","eddie-basden-1","118","3209"
"137","brandon-bass-1","59","2017"
"138",NA,NA,NA
"139",NA,NA,NA
"140","andrew-bogut-1","68","2223"
"141","kevin-burleson-1","123","3321"
"142",NA,NA,NA
"143","will-bynum-1","101","2201"
"144",NA,NA,NA
"145","travis-diener-1","120","3768"
"146","ike-diogu-1","91","3194"
"147",NA,NA,NA
"148","daniel-ewing-1","138","3822"
"149","noel-felix-1","128","2214"
"150","raymond-felton-1","101","3423"
"151","gerald-fitch-1","127","3340"
"152","sharrod-ford-1","118","2820"
"153","channing-frye-1","133","3684"
"154","deng-gai-1","100","2950"
"155","ryan-gomes-1","116","4071"
"156","joey-graham-1","128","3340"
"157","stephen-graham-1","119","1856"
"158","danny-granger-1","95","2698"
"159","devin-green-1","123","3837"
"160",NA,NA,NA
"161","orien-greene-1","104","2568"
"162","anthony-grundy-1","121","3557"
"163","chuck-hayes-1","134","3510"
"164","luther-head-1","128","3251"
"165","julius-hodge-1","129","4257"
"166","randy-holcomb-1","93","2352"
"167","jarrett-jack-1","101","3262"
"168","sarunas-jasikevicius-1","120","1860"
"169","amir-johnson-1","120","4140"
"170","dwayne-jones-1","98","2753"
"171","linas-kleiza-1","49","1406"
"172",NA,NA,NA
"173","david-lee-1","127","3175"
"174",NA,NA,NA
"175","rawle-marshall-1","103","3265"
"176","jason-maxiell-1","129","3560"
"177","sean-may-1","77","2140"
"178","rashad-mccants-1","98","2861"
"179","aaron-miles-1","138","4291"
"180",NA,NA,NA
"181",NA,NA,NA
"182",NA,NA,NA
"183","andre-owens-1","117","3533"
"184","chris-paul-1","63","2110"
"185",NA,NA,NA
"186","josh-powell-1","65","1501"
"187","ronnie-price-1","114","3556"
"188","shavlik-randolph-1","92","1610"
"189","anthony-roberson-1","93","2734"
"190","lawrence-roberts-1","118","3705"
"191","nate-robinson-1","89","2509"
"192","melvin-sanders-1","94","2679"
"193","alex-scales-1","62","1909"
"194","luke-schenscher-1","118","2631"
"195","wayne-simien-1","106","2819"
"196","james-singleton-1","60","1884"
"197","salim-stoudamire-1","129","3844"
"198","chris-taft-1","65","1690"
"199","donell-taylor-1","65","1508"
"200","dijon-thompson-1","117","3252"
"201","ronny-turiaf-1","127","3238"
"202","charlie-villanueva-1","63","1404"
"203","von-wafer-1","61","1317"
"204","matt-walsh-1","92","2824"
"205","hakim-warrick-1","135","4185"
"206",NA,NA,NA
"207","robert-whaley-1","22","286"
"208","deron-williams-1","101","3201"
"209","marvin-williams-1","36","799"
"210","antoine-wright-1","87","2792"
"211","bracey-wright-1","85","3034"
"212","derrick-zimmerman-1","127","3302"
"213","hassan-adams-1","130","3614"
"214","maurice-ager-1","124","3174"
"215","lamarcus-aldridge-1","53","1600"
"216","hilton-armstrong-1","131","1978"
"217","james-augustine-1","137","3712"
"218","kelenna-azubuike-1","97","2172"
"219","renaldo-balkman-1","104","2194"
"220",NA,NA,NA
"221","will-blalock-1","93","3189"
"222","josh-boone-1","103","2667"
"223","cedric-bozeman-1","106","2946"
"224","ronnie-brewer-1","90","2970"
"225","andre-brown-1","107","3103"
"226","dee-brown-1","108","3132"
"227","shannon-brown-1","97","2716"
"228","rodney-carney-1","133","3670"
"229","mardy-collins-1","125","4687"
"230","will-conroy-1","121","3025"
"231","paul-davis-1","130","3354"
"232","yakhouba-diawara-1","45","1462"
"233","quincy-douby-1","95","3049"
"234","jordan-farmar-1","66","2125"
"235","desmon-farmer-1","121","3267"
"236","randy-foye-1","131","4100"
"237",NA,NA,NA
"238","rudy-gay-1","64","1907"
"239",NA,NA,NA
"240","daniel-gibson-1","68","2244"
"241",NA,NA,NA
"242","lynn-greer-1","137","4699"
"243","mike-hall-1","117","3732"
"244",NA,NA,NA
"245","robert-hite-1","121","3569"
"246","ryan-hollins-1","113","2282"
"247",NA,NA,NA
"248",NA,NA,NA
"249","alexander-johnson-1","92","1932"
"250","bobby-jones-1","92",NA
"251","solomon-jones-1","59","1840"
"252","tarence-kinsey-1","123","3062"
"253",NA,NA,NA
"254","kyle-lowry-1","57","1521"
"255","renaldo-major-1","41","984"
"256",NA,NA,NA
"257","chris-mccray-1","103","2626"
"258","ivan-mcfarlin-1","132","3880"
"259","pops-mensah-bonsu-1","112","2665"
"260","paul-millsap-1","92","3238"
"261","randolph-morris-1","89","2118"
"262","adam-morrison-1","95","2907"
"263","david-noel-1","127","2946"
"264","steve-novak-1","126","3402"
"265",NA,NA,NA
"266","kevinn-pinkney-1","110","2596"
"267","leon-powe-1","54","1755"
"268","roger-powell-1","128","2547"
"269","chris-quinn-1","123","3813"
"270","allan-ray-1","130","4017"
"271",NA,NA,NA
"272",NA,NA,NA
"273","rajon-rondo-1","68","1910"
"274","brandon-roy-1","103","2832"
"275",NA,NA,NA
"276",NA,NA,NA
"277","cedric-simmons-1","63","1190"
"278",NA,NA,NA
"279","craig-smith-1","130","4420"
"280","steven-smith-1","107","3841"
"281",NA,NA,NA
"282","tyrus-thomas-1","32","828"
"283",NA,NA,NA
