"","pre_nba_group","Month","MonthBin","mean_gs","size"
"1",1,1,1,5.63088235294118,272
"2",1,1,2,6.09929577464789,284
"3",1,1,3,6.91775700934579,321
"4",1,2,1,6.59485294117647,272
"5",1,2,2,6.61006289308176,159
"6",1,2,3,6.795,240
"7",1,3,1,6.87058823529412,306
"8",1,3,2,6.59964788732394,284
"9",1,3,3,7.62604501607717,311
"10",1,4,1,7.59717314487632,283
"11",1,4,2,7.03502538071066,197
"12",1,4,3,4.9679012345679,81
"13",1,5,1,4.34782608695652,46
"14",1,5,2,6.53478260869565,23
"15",1,5,3,6.15,16
"16",1,6,2,0.3,2
"17",1,10,2,5.89259259259259,27
"18",1,10,3,5.15609756097561,123
"19",1,11,1,5.86533333333333,225
"20",1,11,2,4.97522123893805,226
"21",1,11,3,5.9272,250
"22",1,12,1,5.88744939271255,247
"23",1,12,2,5.62704918032787,244
"24",1,12,3,5.64820143884892,278
"25",2,1,1,5.43098039215686,510
"26",2,1,2,5.5331641285956,591
"27",2,1,3,5.08887147335423,638
"28",2,2,1,5.40162454873646,554
"29",2,2,2,5.25811209439528,339
"30",2,2,3,5.65081967213115,488
"31",2,3,1,5.78671328671329,572
"32",2,3,2,5.87829716193656,599
"33",2,3,3,5.92463126843658,678
"34",2,4,1,6.33742331288344,652
"35",2,4,2,6.88456057007126,421
"36",2,4,3,4.86417910447761,134
"37",2,5,1,3.10232558139535,86
"38",2,5,2,4.60731707317073,41
"39",2,5,3,5.58181818181818,22
"40",2,6,1,7.41818181818182,11
"41",2,6,2,2.4,4
"42",2,10,2,3.61190476190476,42
"43",2,10,3,4.54252336448598,214
"44",2,11,1,4.84029535864979,474
"45",2,11,2,4.9368,500
"46",2,11,3,4.86122448979592,490
"47",2,12,1,5.34439918533605,491
"48",2,12,2,4.83061630218688,503
"49",2,12,3,4.82117647058824,510
"50",3,1,1,4.60219560878244,501
"51",3,1,2,4.37069672131148,488
"52",3,1,3,4.26916221033868,561
"53",3,2,1,4.40059405940594,505
"54",3,2,2,4.36204620462046,303
"55",3,2,3,4.8009828009828,407
"56",3,3,1,4.66049618320611,524
"57",3,3,2,4.68681506849315,584
"58",3,3,3,5.38839869281046,612
"59",3,4,1,5.4339590443686,586
"60",3,4,2,6.10442477876106,452
"61",3,4,3,3.63921568627451,153
"62",3,5,1,2.70140845070423,71
"63",3,5,2,2.57692307692308,39
"64",3,5,3,2.61851851851852,27
"65",3,6,1,2.23,10
"66",3,6,2,1.4,2
"67",3,10,2,3.68333333333333,24
"68",3,10,3,3.67638888888889,144
"69",3,11,1,3.69095354523227,409
"70",3,11,2,3.93233944954128,436
"71",3,11,3,4.19702760084926,471
"72",3,12,1,4.04210526315789,437
"73",3,12,2,3.83447488584475,438
"74",3,12,3,4.17728237791932,471
"75",4,1,1,3.83687943262411,705
"76",4,1,2,3.58982188295165,786
"77",4,1,3,3.43861386138614,909
"78",4,2,1,3.65268817204301,837
"79",4,2,2,3.91746987951807,498
"80",4,2,3,4.1776397515528,644
"81",4,3,1,4.17022274325909,853
"82",4,3,2,4.22165474974464,979
"83",4,3,3,4.30054347826087,1104
"84",4,4,1,4.62111913357401,1108
"85",4,4,2,5.14237726098191,774
"86",4,4,3,3.57992831541219,279
"87",4,5,1,2.72462686567164,134
"88",4,5,2,2.07236842105263,76
"89",4,5,3,1.79074074074074,54
"90",4,6,1,1.77916666666667,24
"91",4,6,2,2.85833333333333,12
"92",4,6,3,1.5,2
"93",4,10,2,1.9962962962963,27
"94",4,10,3,2.57167381974249,233
"95",4,11,1,2.36819727891156,588
"96",4,11,2,3.09643435980551,617
"97",4,11,3,2.98406432748538,684
"98",4,12,1,2.94921630094044,638
"99",4,12,2,3.13830104321908,671
"100",4,12,3,3.2969387755102,686
"101",5,1,1,4.80952380952381,84
"102",5,1,2,4.08064516129032,93
"103",5,1,3,4.13366336633663,101
"104",5,2,1,4.22065217391304,92
"105",5,2,2,4.58867924528302,53
"106",5,2,3,3.23333333333333,60
"107",5,3,1,4.60444444444444,90
"108",5,3,2,3.43030303030303,99
"109",5,3,3,3.55045045045045,111
"110",5,4,1,3.56603773584906,106
"111",5,4,2,4.13974358974359,78
"112",5,4,3,3.16857142857143,35
"113",5,5,1,1.76315789473684,19
"114",5,5,2,2.90909090909091,11
"115",5,5,3,0.822222222222222,9
"116",5,6,1,0.166666666666667,6
"117",5,6,2,4.5,1
"118",5,10,2,2.61666666666667,6
"119",5,10,3,2.02682926829268,41
"120",5,11,1,2.30886075949367,79
