"type","m","X","pre_nba_group","Month","MonthBin","mean_gs","size","pct_change","mean_pct_change"
"INTL","1-1",183,8,1,1,5.299193548,124,8.18157540193627,4.84204911065226
"INTL","1-1",157,7,1,1,4.48627451,102,5.31160821596246,4.84204911065226
"INTL","1-1",109,5,1,1,4.80952381,84,28.1890624183355,4.84204911065226
"INTL","1-1",134,6,1,1,3,67,-22.3140495936252,4.84204911065226
"INTL","1-2",158,7,1,2,5.182882883,111,15.5275467751081,9.09510428340836
"INTL","1-2",184,8,1,2,5.883760684,117,11.0312471266619,9.09510428340836
"INTL","1-2",135,6,1,2,3.749295775,71,24.9765258333333,9.09510428340836
"INTL","1-2",110,5,1,2,4.080645161,93,-15.1549026014698,9.09510428340836
"INTL","1-3",185,8,1,3,5.424817518,137,-7.80016711502266,-0.517771609021725
"INTL","1-3",159,7,1,3,5.106870229,131,-1.46660952438891,-0.517771609021725
"INTL","1-3",111,5,1,3,4.133663366,101,1.29926035977626,-0.517771609021725
"INTL","1-3",136,6,1,3,3.97037037,81,5.89642984354841,-0.517771609021725
"INTL","10-3",150,7,10,3,3.20625,48,NA,NA
"INTL","10-3",102,5,10,3,2.026829268,41,NA,NA
"INTL","10-3",176,8,10,3,5.748648649,37,NA,NA
"INTL","10-3",127,6,10,3,2.454166667,24,NA,NA
"INTL","11-1",151,7,11,1,3.686238532,109,14.9704025575049,-3.37633702870749
"INTL","11-1",128,6,11,1,2.14,70,-12.801358246139,-3.37633702870749
"INTL","11-1",103,5,11,1,2.308860759,79,13.9149111103126,-3.37633702870749
"INTL","11-1",177,8,11,1,4.047663551,107,-29.5893035365084,-3.37633702870749
"INTL","11-2",178,8,11,2,4.720175439,114,16.6148169067523,16.7664570081093
"INTL","11-2",129,6,11,2,3.151785714,56,47.2797062616822,16.7664570081093
"INTL","11-2",104,5,11,2,2.65,88,14.7752193227864,16.7664570081093
"INTL","11-2",152,7,11,2,3.258490566,106,-11.6039144587836,16.7664570081093
"INTL","11-3",130,6,11,3,2.746478873,71,-12.859593823262,12.5889832989458
"INTL","11-3",153,7,11,3,5.331,100,63.6033584269091,12.5889832989458
"INTL","11-3",105,5,11,3,2.882222222,90,8.76310271698113,12.5889832989458
"INTL","11-3",179,8,11,3,4.288235294,102,-9.15093412484494,12.5889832989458
"INTL","12-1",154,7,12,1,4.648275862,116,-12.8066805102232,2.2268363861869
"INTL","12-1",131,6,12,1,3.126388889,72,13.8326210965905,2.2268363861869
"INTL","12-1",180,8,12,1,4.773636364,110,11.3193665160856,2.2268363861869
"INTL","12-1",106,5,12,1,2.78313253,83,-3.4379615577053,2.2268363861869
"INTL","12-2",155,7,12,2,4.152427184,103,-10.6673677019387,11.8858243846729
"INTL","12-2",181,8,12,2,4.661403509,114,-2.3510977050199,11.8858243846729
"INTL","12-2",132,6,12,2,3.632142857,56,16.1769372255468,11.8858243846729
"INTL","12-2",107,5,12,2,4.018421053,76,44.3848257201032,11.8858243846729
"INTL","12-3",156,7,12,3,4.26,115,2.59060089998677,1.84076854712766
"INTL","12-3",182,8,12,3,4.898425197,127,5.08477087517463,1.84076854712766
"INTL","12-3",133,6,12,3,3.861702128,47,6.32021591765273,1.84076854712766
"INTL","12-3",108,5,12,3,3.751898734,79,-6.63251350430349,1.84076854712766
"INTL","2-1",160,7,2,1,4.955855856,111,-2.95708264021368,-6.30666706575231
"INTL","2-1",137,6,2,1,3.115189873,79,-21.5390610271958,-6.30666706575231
"INTL","2-1",186,8,2,1,5.271028037,107,-2.83492450187889,-6.30666706575231
"INTL","2-1",112,5,2,1,4.220652174,92,2.10439990627913,-6.30666706575231
"INTL","2-2",161,7,2,2,5.521538462,65,11.4144281520039,24.9772610439172
"INTL","2-2",138,6,2,2,5.028888889,45,61.4312158814597,24.9772610439172
"INTL","2-2",113,5,2,2,4.588679245,53,8.71967307012682,24.9772610439172
"INTL","2-2",187,8,2,2,6.237931034,58,18.3437270720782,24.9772610439172
"INTL","2-3",162,7,2,3,4.94673913,92,-10.4101300019161,-20.5985454850468
"INTL","2-3",188,8,2,3,4.947619048,84,-20.6849351005505,-20.5985454850468
"INTL","2-3",139,6,2,3,3.934482759,58,-21.7623843786619,-20.5985454850468
"INTL","2-3",114,5,2,3,3.233333333,60,-29.5367324590586,-20.5985454850468
"INTL","3-1",189,8,3,1,5.741129032,124,16.0382191171482,19.0839518006308
"INTL","3-1",163,7,3,1,5.395726496,117,9.07643104276654,19.0839518006308
"INTL","3-1",115,5,3,1,4.604444444,90,42.4054982827222,19.0839518006308
"INTL","3-1",140,6,3,1,4.281333333,75,8.8156587598863,19.0839518006308
"INTL","3-2",164,7,3,2,4.73984375,128,-12.1555965908617,-5.88209012892563
"INTL","3-2",190,8,3,2,5.302884615,104,-7.63341869791301,-5.88209012892563
"INTL","3-2",141,6,3,2,5.212987013,77,21.7608302726379,-5.88209012892563
