year,round,pick,First,Last,Unnamed: 5
1997,1,1,Tim,Duncan,
1997,1,2,Keith,VanHorn,
1997,1,3,Chauncey,Billups,
1997,1,4,Antonio,Daniels,
1997,1,5,Tony,Battie,
1997,1,6,Ron,Mercer,
1997,1,7,Tim,Thomas,
1997,1,8,Adonal,Foyle,
1997,1,9,Tracy,McGrady,
1997,1,10,Danny,Fortson,
1997,1,11,Tariq,Abdul-Wahad,
1997,1,12,Austin,Croshere,
1997,1,13,Derek,Anderson,
1997,1,14,Maurice,Taylor,
1997,1,15,Kelvin,Cato,
1997,1,16,Brevin,Knight,
1997,1,17,Johnny,Taylor,
1997,1,18,Chris,Anstey,
1997,1,19,Scot,Pollard,
1997,1,20,Paul,Grant,
1997,1,21,Anthony,Parker,
1997,1,22,Ed,Gray,
1997,1,23,Bobby,Jackson,
1997,1,24,Rodrick,Rhodes,
1997,1,25,John,Thomas,
1997,1,26,Charles,Smith,
1997,1,27,Jacque,Vaughn,
1997,1,28,Keith,Booth,
1997,2,29,Serge,Zwikker,
1997,2,30,Mark,Sanford,
1997,2,31,Charles,O'Bannon,
1997,2,32,James,Cotton,
1997,2,33,Marko,Milic,
1997,2,34,Bubba,Wells,
1997,2,35,Kebu,Stewart,
1997,2,36,James,Collins,
1997,2,37,Marc,Jackson,
1997,2,38,Jerald,Honeycutt,
1997,2,39,Anthony,Johnson,
1997,2,40,Ed,Elisma,
1997,2,41,Jason,Lawson,
1997,2,42,Stephen,Jackson,
1997,2,43,Gordon,Malone,
1997,2,44,Cedric,Henderson,
1997,2,45,God,Shammgod,
1997,2,46,Eric,Washington,
1997,2,47,Alvin,Williams,
1997,2,48,Predrag,Drobnjak,
1997,2,49,Alain,Digbeu,
1997,2,50,Chris,Crawford,
1997,2,51,DeJuan,Wheat,
1997,2,52,CJ,Bruton,
1997,2,53,Paul,Rogers,
1997,2,54,Mark,Blount,
1997,2,55,Ben,Pepper,
1997,2,56,Nate,Erdmann,
1997,2,57,Roberto,Duenas,
1998,1,1,Michael,Olowokandi,
1998,1,2,Mike,Bibby,
1998,1,3,Raef,LaFrentz,
1998,1,4,Antawn,Jamison,
1998,1,5,Vince,Carter,
1998,1,6,Robert,Traylor,
1998,1,7,Jason,Williams,
1998,1,8,Larry,Hughes,
1998,1,9,Dirk,Nowitzki,
1998,1,10,Paul,Pierce,
1998,1,11,Bonzi,Wells,
1998,1,12,Michael,Doleac,
1998,1,13,Keon,Clark,
1998,1,14,Michael,Dickerson,
1998,1,15,Matt,Harpring,
1998,1,16,Bryce,Drew,
1998,1,17,Rasho,Nesterovic,
1998,1,18,Mirsad,Turkcan,
1998,1,19,Pat,Garrity,
1998,1,20,Roshown,McLeod,
1998,1,21,Ricky,Davis,
1998,1,22,Brian,Skinner,
1998,1,23,Tyronn,Lue,
1998,1,24,Felipe,Lopez,
1998,1,25,Al,Harrington,
1998,1,26,Sam,Jacobson,
1998,1,27,Vladimir,Stepania,
1998,1,28,Corey,Benjamin,
1998,1,29,Nazr,Mohammed,
1998,2,30,Ansu,Sesay,
1998,2,31,Ruben,Patterson,
1998,2,32,Rashard,Lewis,
1998,2,33,Jelani,McCoy,
1998,2,34,Shammond,Williams,
1998,2,35,Bruno,Sundov,
1998,2,36,Jerome,James,
1998,2,37,Casey,Shaw,
1998,2,38,DeMarco,Johnson,
1998,2,39,Rafer,Alston,
1998,2,40,Korleone,Young,
1998,2,41,Cuttino,Mobley,
1998,2,42,Miles,Simon,
1998,2,43,Jahidi,White,
1998,2,44,Sean,Marks,
1998,2,45,Toby,Bailey,
1998,2,46,Andrae,Patterson,
1998,2,47,Tyson,Wheeler,
1998,2,48,Ryan,Stack,
1998,2,49,Cory,Carr,
1998,2,50,Andrew,Betts,
1998,2,51,Corey,Brewer,
1998,2,52,Derrick,Dial,
1998,2,53,Greg,Buckner,
1998,2,54,Tremaine,Fowlkes,
1998,2,55,Ryan,Bowen,
1998,2,56,JR,Henderson,
1998,2,57,Torraye,Braggs,
1998,2,58,Maceo,Baston,
1999,1,1,Elton,Brand,
1999,1,2,Steve,Francis,
1999,1,3,Baron,Davis,
1999,1,4,Lamar,Odom,
1999,1,5,Jonathan,Bender,
1999,1,6,Wally,Szczerbiak,
1999,1,7,Richard,Hamilton,
1999,1,8,Andre,Miller,
1999,1,9,Shawn,Marion,
1999,1,10,Jason,Terry,
1999,1,11,Trajan,Langdon,
1999,1,12,Aleksandar,Radojevic,
1999,1,13,Corey,Maggette,
1999,1,14,William,Avery,
1999,1,15,Frederic,Weis,
1999,1,16,Ron,Artest,
1999,1,17,Cal,Bowdler,
1999,1,18,James,Posey,
1999,1,19,Quincy,Lewis,
1999,1,20,Dion,Glover,
1999,1,21,Jeff,Foster,
1999,1,22,Kenny,Thomas,
1999,1,23,Devean,George,
1999,1,24,Andrei,Kirilenko,
1999,1,25,Tim,James,
1999,1,26,Vonteego,Cummings,
1999,1,27,Jumaine,Jones,
1999,1,28,Scott,Padgett,
1999,1,29,Leon,Smith,
1999,2,30,John,Celestand,
1999,2,31,Rico,Hill,
1999,2,32,Michael,Ruffin,
1999,2,33,Chris,Herren,
1999,2,34,Evan,Eschmeyer,
1999,2,35,Calvin,Booth,
