"","Name","Year","Game","Minute"
"1","casey-jacobsen-1","2005","25","628"
"2","casey-jacobsen-1","2005","34","752"
"3","casey-jacobsen-1","2008","16","466"
"4","casey-jacobsen-1","2009","12","341"
"5","casey-jacobsen-1","2010","10","317"
"6","casey-jacobsen-1","2011","10","256"
"7","casey-jacobsen-1","2012","24","732"
"8","casey-jacobsen-1","2013","6","130"
"9","casey-jacobsen-1","2013","10","203"
"10","jannero-pargo-1","2008","5","125"
"11","jannero-pargo-1","2008","11","138"
"12","jannero-pargo-1","2008","4","57"
"13","jiri-welsch-1","2000","15","254"
"14","jiri-welsch-1","2001","20","622"
"15","jiri-welsch-1","2006","25","580"
"16","jiri-welsch-1","2006","33","709"
"17","jiri-welsch-1","2007","20","532"
"18","jiri-welsch-1","2007","30","731"
"19","jiri-welsch-1","2008","15","327"
"20","jiri-welsch-1","2008","29","595"
"21","jiri-welsch-1","2009","34","737"
"22","jiri-welsch-1","2009","16","378"
"23","jiri-welsch-1","2010","14","277"
"24","jiri-welsch-1","2010","34","648"
"25","jiri-welsch-1","2011","10","253"
"26","jiri-welsch-1","2012","12","364"
"27","jiri-welsch-1","2013","17","452"
"28","jiri-welsch-1","2014","15","429"
"29","juan-dixon-1","2009","4","109"
"30","juan-dixon-1","2009","7","156"
"31","juan-dixon-1","2009","3","77"
"32","juan-dixon-1","2009","4","104"
"33","roger-mason-1","2004","6","161"
"34","roger-mason-1","2004","15","486"
"35","roger-mason-1","2005","16","525"
"36","lonny-baxter-1","2004","11","109"
"37","lonny-baxter-1","2004","12","174"
"38","lonny-baxter-1","2006","14","251"
"39","lonny-baxter-1","2006","29","472"
"40","lonny-baxter-1","2007","12","261"
"41","lonny-baxter-1","2007","2","28"
"42","lonny-baxter-1","2007","9","79"
"43","lonny-baxter-1","2008","10","252"
"44","lonny-baxter-1","2008","22","565"
"45","lonny-baxter-1","2009","6","126"
"46","nikoloz-tskitishvili-1","2001","6","36"
"47","nikoloz-tskitishvili-1","2001","11","140"
"48","nikoloz-tskitishvili-1","2006","18","273"
"49","nikoloz-tskitishvili-1","2007","27","598"
"50","nikoloz-tskitishvili-1","2008","28","588"
"51","nikoloz-tskitishvili-1","2009","22","417"
"52","nikoloz-tskitishvili-1","2009","2","31"
"53","nikoloz-tskitishvili-1","2010","24","348"
"54","marko-jaric-1","1998","25","587"
"55","marko-jaric-1","1999","26","627"
"56","marko-jaric-1","2000","22","631"
"57","marko-jaric-1","2000","33","971"
"58","marko-jaric-1","2001","33","987"
"59","marko-jaric-1","2001","21","592"
"60","marko-jaric-1","2009","12","310"
"61","marko-jaric-1","2009","20","468"
"62","marko-jaric-1","2010","12","150"
"63","marko-jaric-1","2010","11","193"
"64","bostjan-nachbar-1","2000","12","108"
"65","bostjan-nachbar-1","2000","30","329"
"66","bostjan-nachbar-1","2001","21","533"
"67","bostjan-nachbar-1","2001","35","863"
"68","bostjan-nachbar-1","2008","13","432"
"69","bostjan-nachbar-1","2009","15","246"
"70","bostjan-nachbar-1","2009","9","244"
"71","bostjan-nachbar-1","2010","15","290"
"72","bostjan-nachbar-1","2011","7","98"
"73","bostjan-nachbar-1","2012","23","614"
"74","bostjan-nachbar-1","2013","28","512"
"75","bostjan-nachbar-1","2013","31","542"
"76","bostjan-nachbar-1","2014","25","305"
"77","bostjan-nachbar-1","2014","32","422"
"78","bostjan-nachbar-1","2015","34","765"
"79","bostjan-nachbar-1","2016","25","585"
"80","marcus-haislip-1","2005","17","481"
"81","marcus-haislip-1","2006","20","556"
"82","marcus-haislip-1","2007","15","380"
"83","marcus-haislip-1","2007","30","717"
