field1,Game_id,Person_id,Team_id,First_Name,Last_Name,minutes,Field_Goals,Field_Goals_Attempted,Field_Goal_Percentage,Three_Pointers,Three_Pointers_Attempted,Three_Point_Percentage,Free_Throws,Free_Throws_Attempted,Free_Throw_Percentage,Offensive_Rebounds,Defensive_Rebounds,Assists,Personal_Fouls,Steals,Turnovers,Blocked_Shots,Points,location,outcome,season_id,vs_team_id,league_id,Technical_Fouls,Flagrant_Fouls,Ejections,Points_In_Paint,Fast_Break_Points,Triple_Doubles,Double_Doubles,actual_minutes,actual_seconds,Plus_Minus,Blocks_Against,PTS_OFF_TO,Second_Chance_PTS,Total_Rebounds,points_per_36,rebounds_per_36,assists_per_36,steals_per_36,blocks_per_36,br_url,,col_games,col_minutes,intl_games,intl_minutes,intl_group
17,20300001,2422,1610612755,John,Salmons,28,4,6,0.667,1,2,0.5,1,3,0.333,1,4,4,1,2,2,0,10,H,W,2003,1610612748,0,0,0,0,4,3,0,0,28,0,11,0,2,0,5,12.85714286,6.428571429,5.142857143,2.571428571,0,john-salmons-1,,124,3819,,,
34,20300002,1938,1610612759,Manu,Ginobili,33,1,7,0.143,0,3,0,5,7,0.714,1,4,3,4,0,2,1,7,H,W,2003,1610612756,0,0,0,0,2,0,0,0,33,0,2,1,0,2,5,7.636363636,5.454545455,3.272727273,0,1.090909091,manu-ginobili-1,,,,144,4341,4
38,20300002,2405,1610612756,Amar'e,Stoudemire,22,4,10,0.4,0,0,0,2,2,1,2,5,0,6,0,2,0,10,A,L,2003,1610612759,0,0,0,0,8,2,0,0,22,0,12,1,6,4,7,16.36363636,11.45454545,0,0,1.636363636,amar'e-stoudemire-1,,,,,,
39,20300002,2418,1610612756,Casey,Jacobsen,7,0,0,0,0,0,0,4,4,1,0,0,0,1,0,1,0,4,A,L,2003,1610612759,0,0,0,0,0,0,0,0,7,0,-4,0,0,0,0,20.57142857,0,0,0,0,casey-jacobsen-1,,95,3021,,,
40,20300002,2456,1610612756,Cezary,Trybanski,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,A,L,2003,1610612759,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,cezary-trybanski-1,,,,,,
59,20300003,2416,1610612747,Kareem,Rush,14,1,5,0.2,0,1,0,0,0,0,0,1,1,4,0,1,0,2,H,W,2003,1610612742,0,0,0,0,2,0,0,0,14,0,-6,0,0,0,1,5.142857143,2.571428571,2.571428571,0,0,kareem-rush-1,,84,2536,,,
60,20300003,2457,1610612747,Jannero,Pargo,9,2,3,0.667,1,1,1,0,0,0,0,2,0,0,0,2,0,5,H,W,2003,1610612742,0,0,0,0,0,0,0,0,9,0,-8,0,0,0,2,20,8,0,0,0,jannero-pargo-1,,60,1530,,,
81,20300004,2412,1610612738,Jiri,Welsch,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,H,W,2003,1610612748,0,0,0,0,0,0,0,0,3,0,-5,0,0,0,0,0,0,0,0,0,jiri-welsch-1,,,,35,876,2
99,20300005,1921,1610612753,Gordan,Giricek,26,3,9,0.333,0,3,0,1,5,0.2,0,6,3,3,1,0,0,7,A,W,2003,1610612752,0,0,0,0,6,3,0,0,26,27,9,0,0,2,6,9.692307692,8.307692308,4.153846154,1.384615385,0,gordan-giricek-1,,,,,,
102,20300005,2400,1610612753,Drew,Gooden,45,6,11,0.545,0,0,0,4,6,0.667,4,5,0,0,2,2,0,16,A,W,2003,1610612752,0,0,0,0,4,0,0,0,45,15,-5,1,4,5,9,12.8,7.2,0,1.6,0.8,drew-gooden-1,,98,2567,,,
