year	round	pick	player	position	school
1980	1	1	"Carroll, Joe Barry"	F/C	Purdue
1980	1	2	"Griffith, Darrell"	G	Louisville
1980	1	3	"McHale, Kevin"	F/C	Minnesota
1980	1	4	"Ransey, Kelvin"	G	Ohio State
1980	1	5	"Ray, James"	F	Jacksonville
1980	1	6	"O'Koren, Mike"	G/F	North Carolina
1980	1	7	"Gminski, Mike"	C	Duke
1980	1	8	"Toney, Andrew"	G	Southwestern Louisiana
1980	1	9	"Brooks, Michael"	F	La Salle
1980	1	10	"Lester, Ronnie"	G	Iowa
1980	1	11	"Vandeweghe, Kiki"	F	UCLA
1980	1	12	"Woodson, Mike"	G/F	Indiana
1980	1	13	"Brown, Rickey"	F/C	Mississippi State
1980	1	14	"Matthews, Wes"	G	Wisconsin
1980	1	15	"Johnson, Reggie"	F/C	Tennessee
1980	1	16	"Whitney, Charles"	G/F	NC State
1980	1	17	"Drew, Larry"	G	Missouri
1980	1	18	"Collins, Don"	G/F	Washington State
1980	1	19	"Duren, John"	G	Georgetown
1980	1	20	"Hanzlik, Bill"	G/F	Notre Dame
1980	1	21	"Davis, Monti"	F	Tennessee State
1980	1	22	"Kinch, Chad"	G	UNC Charlotte
1980	1	23	"Nicks, Carl"	G	Indiana State
1980	2	24	"Smith, Larry"	F/C	Alcorn State
1980	2	25	"Ruland, Jeff"	F/C	Iona
1980	2	26	"Worthen, Sam"	F	Marquette
1980	2	27	"Stroud, John"	F	Mississippi
1980	2	28	"Shelton, Craig"	F	Georgetown
1980	2	29	"Orr, Louis"	F	Syracuse
1980	2	30	"Natt, Kenny"	G	Northeast Louisiana
1980	2	31	"Robinson, Wayne"	F	Virginia Tech
1980	2	32	"Lawrence, David"	F	McNeese State
1980	2	33	"Collins, Bruce"	G/F	Weber State
1980	2	34	"Bouie, Roosevelt"	C	Syracuse
1980	2	35	"Mahorn, Rick"	F/C	Hampton
1980	2	36	"Scales, DeWayne"	F	LSU
1980	2	37	"Carter, Butch"	G	Indiana
1980	2	38	"Stotts, Terry"	F	Oklahoma
1980	2	39	"Wiley, Michael"	F	Long Beach State
1980	2	40	"Miller, Dick"	F	Toledo
1980	2	41	"Oldham, Jawann"	C	Seattle
1980	2	42	"Belton, Kimberly"	F	Stanford
1980	2	43	"Williams, Billy"	G	Clemson
1980	2	44	"Austin, Clyde"	G	NC State
1980	2	45	"Branson, Brad"	F/C	SMU
1980	2	46	"Hallman, Arnette"	F	Purdue
1981	1	1	"Aguirre, Mark"	G/F	DePaul
1981	1	2	"Thomas, Isiah"	G	Indiana
1981	1	3	"Williams, Buck"	F/C	Maryland
1981	1	4	"Wood, Al"	G/F	North Carolina
1981	1	5	"Vranes, Danny"	F	Utah
1981	1	6	"Woolridge, Orlando"	F	Notre Dame
1981	1	7	"Johnson, Steve"	F/C	Oregon State
1981	1	8	"Chambers, Tom"	F/C	Utah
1981	1	9	"Blackman, Rolando"	G	Kansas State
1981	1	10	"King, Albert"	G/F	Maryland
1981	1	11	"Johnson, Frank"	G	Wake Forest
1981	1	12	"Tripucka, Kelly"	G/F	Notre Dame
1981	1	13	"Schayes, Danny"	F/C	Syracuse
1981	1	14	"Williams, Herb"	F/C	Ohio State
1981	1	15	"Lamp, Jeff"	G/F	Virginia
1981	1	16	"Valentine, Darnell"	G	Kansas
1981	1	17	"Loder, Kevin"	G/F	Alabama State
1981	1	18	"Tolbert, Ray"	F	Indiana
1981	1	19	"McGee, Mike"	G/F	Michigan
1981	1	20	"Nance, Larry"	F/C	Clemson
1981	1	21	"Lister, Alton"	F/C	Arizona State
1981	1	22	"Edwards, Franklin"	G	Cleveland State
1981	1	23	"Bradley, Charles"	G	Wyoming
1981	2	24	"Vincent, Jay"	F	Michigan State
1981	2	25	"Jackson, Tracy"	G/F	Notre Dame
1981	2	26	"Jackson, Brian"	F	Utah State
1981	2	27	"Wood, Howard"	F	Tennessee
1981	2	28	"Banks, Gene"	G/F	Duke
1981	2	29	"Johnson, Eddie"	G/F	Illinois
1981	2	30	"Rains, Ed"	F	South Alabama
1981	2	31	"Ainge, Danny"	G/F	Brigham Young
1981	2	32	"Olliver, Mike"	G	Lamar
1981	2	33	"Williams, Sam"	F	Arizona State
1981	2	34	"Green, Ken"	F	Pan American
1981	2	35	"Davis, Charles"	F	Vanderbilt
1981	2	36	"Blume, Ray"	G	Oregon State
1981	2	37	"Leslie, Al"	G	Bucknell
1981	2	38	"Bradshaw, Clyde"	G	DePaul
1981	2	39	"Knuckles, Harvey"	F	Toledo
1981	2	40	"Cook, Greg"	F	LSU
1981	2	41	"Gregory, Claude"	F	Wisconsin
1981	2	42	"Rolle, Elvis"	F/C	Florida State
1981	2	43	"Turner, Elston"	G/F	Mississippi
1981	2	44	"Lingenfelter, Steve"	F	South Dakota State
1981	2	45	"Turner, Ed"	F	Texas A&I
1981	2	46	"Smith, Vernon"	F	Texas A&M
1982	1	1	"Worthy, James"	SF	North Carolina
1982	1	2	"Cummings, Terry"	PF	DePaul
1982	1	3	"Wilkins, Dominique"	SF	Georgia
1982	1	4	"Garnett, Bill"	SF	Wyoming
1982	1	5	"Thompson, LaSalle"	C/PF	Texas
1982	1	6	"Tucker, Trent"	SG	Minnesota
1982	1	7	"Dailey, Quintin"	SG	San Francisco
1982	1	8	Clark Kellogg	PF	Ohio State
1982	1	9	"Levingston, Cliff"	PF	Wichita State
1982	1	10	"Edmonson, Keith"	SG	Purdue
1982	1	11	Fat Lever	PG	Arizona State
1982	1	12	"Bagley, John"	PG	Boston College
1982	1	13	"Floyd, Sleepy"	SG	Georgetown
1982	1	14	"Conner, Lester"	PG	Oregon State
1982	1	15	"Thirdkill, David"	SF	Bradley
1982	1	16	"Teagle, Terry"	SG	Baylor
1982	1	17	"Steppe, Brook"	SG	Georgia Tech
1982	1	18	"Pierce, Ricky"	SF	Rice
1982	1	19	"Williams, Rob"	PG	Houston
1982	1	20	"Pressey, Paul"	SF	Tulsa
1982	1	21	"Phillips, Eddie"	SF	Alabama
1982	1	22	"McNamara, Mark"	C	California
1982	1	23	"Tillis, Darren"	C	Cleveland State
1982	2	24	"Robinson, Oliver"	SG	UAB
1982	2	25	"Warrick, Bryan"	SG	Saint Joseph's
1982	2	26	"Frazier, Ricky"	SF	Missouri
1982	2	27	"Roberts, Fred"	PF	BYU
1982	2	28	"Magley, Dave"	PF	Kansas
1982	2	29	"Hastings, Scott"	F/C	Arkansas
1982	2	30	"Bryant, Wallace"	C	San Francisco
1982	2	31	"Higgins, Rod"	F/C	Fresno State
