year,round,pick,player,position,school
1997,1,1,Tim Duncan,PF/C,Wake Forest
1997,1,2,"Van Horn, Keith",PF,Utah
1997,1,3,"Billups, Chauncey",PG,Colorado
1997,1,4,"Daniels, Antonio",PG,Bowling Green
1997,1,5,"Battie, Tony",C/F,Texas Tech
1997,1,6,"Mercer, Ron",SF,Kentucky
1997,1,7,"Thomas, Tim",SF,Villanova
1997,1,8,"Foyle, Adonal",C,Colgate
1997,1,9,"McGrady, Tracy",SG/SF,Mt. Zion Christian Academy
1997,1,10,"Fortson, Danny",PF,Cincinnati
1997,1,11,"Abdul-Wahad, Tariq",SF,San Jose State
1997,1,12,"Croshere, Austin",PF,Providence
1997,1,13,"Anderson, Derek",SG,Kentucky
1997,1,14,"Taylor, Maurice",PF,Michigan
1997,1,15,"Cato, Kelvin",C,Iowa State
1997,1,16,"Knight, Brevin",PG,Stanford
1997,1,17,"Taylor, Johnny",PF,Chattanooga
1997,1,18,"Anstey, Chris",PF,SE Melbourne Magic
1997,1,19,"Pollard, Scot",C,Kansas
1997,1,20,"Grant, Paul",C,Wisconsin
1997,1,21,"Parker, Anthony",SG,Bradley
1997,1,22,"Gray, Ed",PG/SG,California
1997,1,23,"Jackson, Bobby",PG,Minnesota
1997,1,24,"Rhodes, Rodrick",SG,USC
1997,1,25,"Thomas, John",C,Minnesota
1997,1,26,"Smith, Charles",SG,New Mexico
1997,1,27,"Vaughn, Jacque",PG,Kansas
1997,1,28,"Booth, Keith",SF,Maryland
1997,2,29,"Zwikker, Serge",C,North Carolina
1997,2,30,"Sanford, Mark",SF/PF,Washington
1997,2,31,"O'Bannon, Charles",PG,UCLA
1997,2,32,"Cotton, James",SF,Long Beach State
1997,2,33,"Mili?, Marko",PG/SG,Smelt Olimpija
1997,2,34,"Wells, Bubba",SF/PF,Austin Peay
1997,2,35,"Stewart, Kebu",SF/PF,Cal State Bakersfield
1997,2,36,"Collins, James",PG/SG,Florida State
1997,2,37,"Jackson, Marc",SF/PF,Temple
