year,round,pick,player,position,school
1997,1,1,"Duncan, Tim",,
1997,1,2,"Van Horn, Keith",,
1997,1,3,"Billups, Chauncey",,
1997,1,4,"Daniels, Antonio",,
1997,1,5,"Battie, Tony",,
1997,1,6,"Mercer, Ron",,
1997,1,7,"Thomas, Tim",,
1997,1,8,"Foyle, Adonal",,
1997,1,9,"McGrady, Tracy",,
1997,1,10,"Fortson, Danny",,
1997,1,11,"Abdul-Wahad, Tariq",,
1997,1,12,"Croshere, Austin",,
1997,1,13,"Anderson, Derek",,
1997,1,14,"Taylor, Maurice",,
1997,1,15,"Cato, Kelvin",,
1997,1,16,"Knight, Brevin",,
1997,1,17,"Taylor, Johnny",,
1997,1,18,"Anstey, Chris",,
1997,1,19,"Pollard, Scot",,
1997,1,20,"Grant, Paul",,
1997,1,21,"Parker, Anthony",,
1997,1,22,"Gray, Ed",,
1997,1,23,"Jackson, Bobby",,
1997,1,24,"Rhodes, Rodrick",,
1997,1,25,"Thomas, John",,
1997,1,26,"Smith, Charles",,
1997,1,27,"Vaughn, Jacque",,
1997,1,28,"Booth, Keith",,
1997,2,29,"Zwikker, Serge",,
1997,2,30,"Sanford, Mark",,
1997,2,31,"O'Bannon, Charles",,
1997,2,32,"Cotton, James",,
1997,2,33,"Milic, Marko",,
1997,2,34,"Wells, Bubba",,
1997,2,35,"Stewart, Kebu",,
1997,2,36,"Collins, James",,
1997,2,37,"Jackson, Marc",,
1997,2,38,"Honeycutt, Jerald",,
1997,2,39,"Johnson, Anthony",,
1997,2,40,"Elisma, Ed",,
1997,2,41,"Lawson, Jason",,
1997,2,42,"Jackson, Stephen",,
1997,2,43,"Malone, Gordon",,
1997,2,44,"Henderson, Cedric",,
1997,2,45,"Shammgod, God",,
1997,2,46,"Washington, Eric",,
1997,2,47,"Williams, Alvin",,
1997,2,48,"Drobnjak, Predrag",,
1997,2,49,"Digbeu, Alain",,
1997,2,50,"Crawford, Chris",,
1997,2,51,"Wheat, DeJuan",,
1997,2,52,"Bruton, C.J.",,
1997,2,53,"Rogers, Paul",,
1997,2,54,"Blount, Mark",,
1997,2,55,"Pepper, Ben",,
1997,2,56,"Erdmann, Nate",,
1997,2,57,"Duenas, Roberto",,
1998,1,1,"Olowokandi, Michael",,
1998,1,2,"Bibby, Mike",,
1998,1,3,"LaFrentz, Raef",,
1998,1,4,"Jamison, Antawn",,
1998,1,5,"Carter, Vince",,
1998,1,6,"Traylor, Robert",,
1998,1,7,"Williams, Jason",,
1998,1,8,"Hughes, Larry",,
1998,1,9,"Nowitzki, Dirk",,
1998,1,10,"Pierce, Paul",,
1998,1,11,"Wells, Bonzi",,
1998,1,12,"Doleac, Michael",,
1998,1,13,"Clark, Keon",,
1998,1,14,"Dickerson, Michael",,
1998,1,15,"Harpring, Matt",,
1998,1,16,"Drew, Bryce",,
1998,1,17,"Nesterovic, Rasho",,
1998,1,18,"Turkcan, Mirsad",,
1998,1,19,"Garrity, Pat",,
1998,1,20,"McLeod, Roshown",,
1998,1,21,"Davis, Ricky",,
1998,1,22,"Skinner, Brian",,
1998,1,23,"Lue, Tyronn",,
1998,1,24,"Lopez, Felipe",,
1998,1,25,"Harrington, Al",,
1998,1,26,"Jacobson, Sam",,
1998,1,27,"Stepania, Vladimir",,
1998,1,28,"Benjamin, Corey",,
1998,1,29,"Mohammed, Nazr",,
1998,2,30,"Sesay, Ansu",,
1998,2,31,"Patterson, Ruben",,
1998,2,32,"Lewis, Rashard",,
1998,2,33,"McCoy, Jelani",,
1998,2,34,"Williams, Shammond",,
1998,2,35,"Sundov, Bruno",,
1998,2,36,"James, Jerome",,
1998,2,37,"Shaw, Casey",,
1998,2,38,"Johnson, DeMarco",,
1998,2,39,"Alston, Rafer",,
1998,2,40,"Young, Korleone",,
1998,2,41,"Mobley, Cuttino",,
1998,2,42,"Simon, Miles",,
1998,2,43,"White, Jahidi",,
1998,2,44,"Marks, Sean",,
1998,2,45,"Bailey, Toby",,
1998,2,46,"Patterson, Andrae",,
1998,2,47,"Wheeler, Tyson",,
1998,2,48,"Stack, Ryan",,
1998,2,49,"Carr, Cory",,
1998,2,50,"Betts, Andrew",,
1998,2,51,"Brewer, Corey",,
1998,2,52,"Dial, Derrick",,
1998,2,53,"Buckner, Greg",,
1998,2,54,"Fowlkes, Tremaine",,
1998,2,55,"Bowen, Ryan",,
1998,2,56,"Henderson, J. R.",,
1998,2,57,"Braggs, Torraye",,
1998,2,58,"Baston, Maceo",,
1999,1,1,"Brand, Elton",,
1999,1,2,"Francis, Steve",,
1999,1,3,"Davis, Baron",,
1999,1,4,"Odom, Lamar",,
1999,1,5,"Bender, Jonathan",,
1999,1,6,"Szczerbiak, Wally",,
1999,1,7,"Hamilton, Richard",,
1999,1,8,"Miller, Andre",,
1999,1,9,"Marion, Shawn",,
1999,1,10,"Terry, Jason",,
1999,1,11,"Langdon, Trajan",,
1999,1,12,"Radojevic, Aleksandar",,
1999,1,13,"Maggette, Corey",,
1999,1,14,"Avery, William",,
1999,1,15,"Weis, Frederic",,
1999,1,16,"Artest, Ron",,
1999,1,17,"Bowdler, Cal",,
1999,1,18,"Posey, James",,
1999,1,19,"Lewis, Quincy",,
1999,1,20,"Glover, Dion",,
1999,1,21,"Foster, Jeff",,
1999,1,22,"Thomas, Kenny",,
1999,1,23,"George, Devean",,
1999,1,24,"Kirilenko, Andrei",,
1999,1,25,"James, Tim",,
1999,1,26,"Cummings, Vonteego",,
1999,1,27,"Jones, Jumaine",,
1999,1,28,"Padgett, Scott",,
1999,1,29,"Smith, Leon",,
1999,2,30,"Celestand, John",,
1999,2,31,"Hill, Rico",,
1999,2,32,"Ruffin, Michael",,
1999,2,33,"Herren, Chris",,
1999,2,34,"Eschmeyer, Evan",,
1999,2,35,"Booth, Calvin",,
1999,2,36,"Wang Zhizhi,",,
1999,2,37,"Ekezie, Obinna",,
1999,2,38,"Profit, Laron",,
1999,2,39,"Bramlett, A. J.",,
1999,2,40,"Giricek, Gordan",,
1999,2,41,"Elson, Francisco",,
1999,2,42,"Bullock, Louis",,
1999,2,43,"Nailon, Lee",,
